number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.2655952145816919,2026-09-19 21:41:41.465375,2026-09-19 21:41:42.569057,0 days 00:00:01.103682,0.6378406858761497,0.05735290999311754,1,331,0.5149589868525593,0.17030711279547273,0.6194502386426519,"{'n_estimators': 331, 'learning_rate': 0.05735290999311754, 'max_depth': 1, 'subsample': 0.6194502386426519, 'colsample_bytree': 0.6378406858761497, 'reg_alpha': 0.5149589868525593, 'reg_lambda': 0.17030711279547273}",,COMPLETE
1,0.23732227689260182,2026-09-19 21:41:42.569057,2026-09-19 21:41:46.753786,0 days 00:00:04.184729,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.2424507441260093,2026-09-19 21:41:46.753786,2026-09-19 21:41:57.648009,0 days 00:00:10.894223,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.2462567848907796,2026-09-19 21:41:57.648009,2026-09-19 21:42:00.718903,0 days 00:00:03.070894,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.23708134858657837,2026-09-19 21:42:00.718903,2026-09-19 21:42:05.529893,0 days 00:00:04.810990,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.2524274478971579,2026-09-19 21:42:05.529893,2026-09-19 21:42:27.227300,0 days 00:00:21.697407,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,COMPLETE
6,0.2604550744361342,2026-09-19 21:42:27.227300,2026-09-19 21:42:31.258255,0 days 00:00:04.030955,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,COMPLETE
7,0.2497573661479007,2026-09-19 21:42:31.258255,2026-09-19 21:42:31.636709,0 days 00:00:00.378454,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.23101798692368808,2026-09-19 21:42:31.636709,2026-09-19 21:42:32.447084,0 days 00:00:00.810375,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,PRUNED
9,0.23625404846384437,2026-09-19 21:42:32.447084,2026-09-19 21:42:32.639848,0 days 00:00:00.192764,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,PRUNED
10,0.2822247244024217,2026-09-19 21:42:32.639848,2026-09-19 21:42:33.041538,0 days 00:00:00.401690,0.7063667133904311,0.0639159661154761,1,665,3.781846808626815,1.2341519668440526,0.6140777260286947,,"{""colsample_bytree"": 0.7063667133904311, ""learning_rate"": 0.0639159661154761, ""max_depth"": 1, ""n_estimators"": 665, ""reg_alpha"": 3.781846808626815, ""reg_lambda"": 1.2341519668440526, ""subsample"": 0.6140777260286947}",PRUNED
11,0.28408601646716053,2026-09-19 21:42:33.041538,2026-09-19 21:42:33.894759,0 days 00:00:00.853221,0.6567555686511025,0.08620533673440825,2,1158,0.5262323798402203,0.48260937280586114,0.6068845722065702,,"{""colsample_bytree"": 0.6567555686511025, ""learning_rate"": 0.08620533673440825, ""max_depth"": 2, ""n_estimators"": 1158, ""reg_alpha"": 0.5262323798402203, ""reg_lambda"": 0.48260937280586114, ""subsample"": 0.6068845722065702}",PRUNED
12,0.26931332366691996,2026-09-19 21:42:33.894759,2026-09-19 21:42:37.042099,0 days 00:00:03.147340,0.7774536104248444,0.024948766083466772,2,733,0.10750955568257947,2.282765953695437,0.6737290780822205,,"{""colsample_bytree"": 0.7774536104248444, ""learning_rate"": 0.024948766083466772, ""max_depth"": 2, ""n_estimators"": 733, ""reg_alpha"": 0.10750955568257947, ""reg_lambda"": 2.282765953695437, ""subsample"": 0.6737290780822205}",COMPLETE
