feature_set,metric,model_a,model_b,difference,low,high,t,p_value,p_holm
main,auc,dummy,lr_penalized,-0.2003641813413264,-0.2910134219943498,-0.10971494068830295,-6.136842918204129,0.0035739917194099677,0.053609875791149515
main,auc,dummy,lr_scored,-0.1792071937055077,-0.2756210985164334,-0.08279328889458198,-5.160655371812156,0.006694993091469698,0.08703491018910607
main,auc,dummy,random_forest,-0.20782465342825027,-0.326197958590953,-0.08945134826554751,-4.87452589886879,0.008192887121383854,0.09012175833522239
main,auc,dummy,xgboost,-0.20435069314349946,-0.30359377489670614,-0.1051076113902928,-5.716957511788604,0.004631474585182594,0.06484064419255632
main,auc,dummy,xgboost_depth_1_12,-0.1976635443986512,-0.30588716843390645,-0.08943992036339593,-5.070999841429283,0.00712543189478403,0.08703491018910607
main,auc,lr_penalized,lr_scored,0.02115698763581868,-0.0032315910576309267,0.04554556632926829,2.408554245843608,0.07367006960056344,0.7277752789205241
main,auc,lr_penalized,random_forest,-0.007460472086923931,-0.04870551858071102,0.03378457440686316,-0.5022079732974696,0.6419077969403844,1.0
main,auc,lr_penalized,xgboost,-0.003986511802173132,-0.031243439790212994,0.02327041618586673,-0.40607405151503234,0.7054732537505558,1.0
main,auc,lr_penalized,xgboost_depth_1_12,0.002700636942675172,-0.03259192204079985,0.0379931959261502,0.21245753882334434,0.8421377334371224,1.0
main,auc,lr_scored,random_forest,-0.02861745972274261,-0.0655986917058286,0.008363772260343388,-2.148517010107823,0.09814478362529054,0.7851582690023243
main,auc,lr_scored,xgboost,-0.025143499437991813,-0.053992611974961836,0.003705613098978211,-2.41981606375916,0.07277752789205241,0.7277752789205241
main,auc,lr_scored,xgboost_depth_1_12,-0.018456350693143508,-0.054176599569011455,0.017263898182724443,-1.434565719848923,0.22472648957220587,1.0
main,auc,random_forest,xgboost,0.003473960284750799,-0.018048752631552117,0.024996673201053712,0.4481433203033548,0.6772517580555427,1.0
main,auc,random_forest,xgboost_depth_1_12,0.010161109029599102,-0.0032681415071705716,0.023590359566368777,2.100769611183209,0.10356327772113061,0.7851582690023243
main,auc,xgboost,xgboost_depth_1_12,0.006687148744848303,-0.0038687221189430947,0.0172430196086397,1.7588791715944723,0.15341738802810898,0.9205043281686538
no_consequence,auc,dummy,lr_penalized,-0.19510378418883476,-0.27747892866165946,-0.11272863971601006,-6.575951399943953,0.0027679771519182246,0.04151965727877337
no_consequence,auc,dummy,lr_scored,-0.18025327838141625,-0.2738653715118869,-0.08664118525094562,-5.346139753123821,0.005900908079936937,0.07671180503918018
no_consequence,auc,dummy,random_forest,-0.20140726863994002,-0.3065490044369899,-0.09626553284289013,-5.318499080574516,0.006011642309506833,0.07671180503918018
no_consequence,auc,dummy,xgboost,-0.19251105282877484,-0.29544060786160864,-0.08958149779594103,-5.192836694498729,0.006548269592743786,0.07671180503918018
no_consequence,auc,dummy,xgboost_depth_1_12,-0.19177669539153244,-0.2877108066838231,-0.09584258409924176,-5.550241306645815,0.0051559769716628765,0.07218367760328027
no_consequence,auc,lr_penalized,lr_scored,0.014850505807418512,-0.01104636818698571,0.04074737980182273,1.5921463790428076,0.1865674580954706,1.0
