feature_set,model,target_sensitivity,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high
main,lr_penalized,0.8,0.0633944995017448,0.1286903860711582,0.11645884129512354,0.1420001289280947,0.8,0.7593592358943103,0.8352661081693097,0.41350318471337577,0.39818868225622345,0.4289868331936128,0.6073563218390805,0.5927557849797451,0.6217674145519596
main,lr_penalized,0.85,0.0565973936469687,0.12026578073089701,0.10912697066720009,0.13237261342356227,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3253503184713376,0.3108703248716163,0.3401718425536053,0.6919540229885057,0.6780698018357629,0.7054995163847368
main,lr_penalized,0.9,0.0479707257418685,0.11162926260565433,0.10152338206472895,0.12260383546484187,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22343949044585987,0.21068192159444774,0.23673787817225975,0.7887356321839081,0.7763529521245593,0.8006088007915457
main,lr_penalized,0.95,0.0390730161283186,0.10496232787737074,0.0956699801869601,0.11504241675376128,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.12229299363057325,0.11241113033392569,0.13291346953170666,0.8848275862068965,0.8749996338902736,0.8939764603625605
main,lr_scored,0.8,0.0618604508619553,0.12065294535131299,0.10914030764054442,0.1331984164869569,0.8,0.7593592358943103,0.8352661081693097,0.3686624203821656,0.3537047421538926,0.3838769315261975,0.647816091954023,0.6334970321561825,0.6618743110962503
main,lr_scored,0.85,0.0549084761541473,0.11277258566978193,0.10228972812077737,0.12418113802075674,0.851764705882353,0.8148357311181423,0.8823916330976317,0.2743949044585987,0.26066118422464396,0.2885697993713206,0.7379310344827587,0.72465688249858,0.7507853263136564
main,lr_scored,0.9,0.0502852648657892,0.10983653570404359,0.0998843165054395,0.12064745725227463,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.209171974522293,0.19673545442154308,0.22217721387297243,0.8016091954022988,0.789494578608944,0.8131915836728474
main,lr_scored,0.95,0.0432120969472413,0.1038560411311054,0.09465672248232886,0.11383698929467091,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.11184713375796178,0.10236399708040449,0.12208931010023018,0.8942528735632184,0.8847640767757472,0.9030459600483931
main,random_forest,0.8,0.0772493284794537,0.14214046822742474,0.12871994901504633,0.15670856141623304,0.8,0.7593592358943103,0.8352661081693097,0.4771974522292994,0.46160143227154454,0.49283806296486293,0.5498850574712644,0.5350631886389264,0.5646188976531076
main,random_forest,0.85,0.0657295171119079,0.12147651006711409,0.11023220679034249,0.13369545118527912,0.851764705882353,0.8148357311181423,0.8823916330976317,0.33299363057324843,0.318419367027603,0.3478944779720071,0.6850574712643678,0.6710960266982346,0.6986923579335047
main,random_forest,0.9,0.0581256463703772,0.11277974087161366,0.1025754025361415,0.123859114527407,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23235668789808916,0.2194097290362815,0.24582702790054597,0.7806896551724138,0.7681486922092929,0.7927353048532583
main,random_forest,0.95,0.0470534844188051,0.10420428166107815,0.09497566736318186,0.11421645435451275,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.11515923566878981,0.10554688169696617,0.1255241524325702,0.891264367816092,0.8816657046694625,0.9001725942662149
main,xgboost,0.8,0.0569189228117466,0.13317665491578534,0.12054656261309386,0.14690899528297763,0.8,0.7593592358943103,0.8352661081693097,0.4361783439490446,0.42073394269901293,0.4517475495548427,0.5868965517241379,0.5721938017032908,0.6014459615150911
main,xgboost,0.85,0.0507176481187343,0.12573810350816256,0.1141235767837862,0.13835005703110898,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3587261146496815,0.34386610193735767,0.37386239089602724,0.6618390804597701,0.6476431880401671,0.6757493868427454
main,xgboost,0.9,0.0424957387149333,0.11446503287507472,0.10411668515642446,0.12569761151530978,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.24509554140127388,0.23189224276195336,0.2587973101321884,0.7691954022988505,0.7564400141245743,0.7814757602900427
main,xgboost,0.95,0.0340083390474319,0.10570381998953428,0.09634917987343726,0.11585027155676973,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.12917197452229298,0.11904092870108157,0.14002818098150044,0.8786206896551724,0.8685805838927992,0.8879926701301507
no_consequence,lr_penalized,0.8,0.063753320114901,0.12710280373831775,0.11501276417822462,0.14026231250426838,0.8,0.7593592358943103,0.8352661081693097,0.4050955414012739,0.3898377081119222,0.42053896200608665,0.6149425287356322,0.6003866317456684,0.6292955947336728
no_consequence,lr_penalized,0.85,0.0558493131417803,0.1173419773095624,0.10645849122460195,0.12917725393228308,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3062420382165605,0.29201731320126856,0.32084566028798167,0.7091954022988506,0.6955200781879917,0.7225015740044093
no_consequence,lr_penalized,0.9,0.0501238945029614,0.11274654106564616,0.10254504227688009,0.1238228928775129,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23210191082802548,0.219160247164239,0.24556745385344217,0.7809195402298851,0.7683830043000582,0.7929603572154517
no_consequence,lr_penalized,0.95,0.0426518391247116,0.10781958900453696,0.09828747170154455,0.11815501666637117,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.14828025477707008,0.1375064831025741,0.15974182051597932,0.8613793103448276,0.8507913577887398,0.871329562262309
no_consequence,lr_scored,0.8,0.0617523574541544,0.12011271574498063,0.10866470069042328,0.13258739470613257,0.8023529411764706,0.7618572208133016,0.8374318514390526,0.36356687898089174,0.3486584204665177,0.3787421348306466,0.6526436781609195,0.638365490133826,0.6666525066307392
