feature_set,model,target_sensitivity,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high
no_consequence,lr_scored,0.85,0.054200007508991,0.11193568336425479,0.1015264136211539,0.12326577218456893,0.851764705882353,0.8148357311181423,0.8823916330976317,0.26828025477707007,0.2546507323138615,0.2823629092225922,0.743448275862069,0.7302591711484034,0.7562077845348412
no_consequence,lr_scored,0.9,0.0503235409023072,0.10989956958393113,0.09994194256104331,0.12071625240345864,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.20968152866242037,0.1972331460664538,0.2226976340663543,0.8011494252873563,0.7890249092956569,0.8127425240802171
no_consequence,lr_scored,0.95,0.0440531607589,0.10515356585111921,0.09584514768823686,0.11525077696530846,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.12407643312101911,0.11412898938780869,0.13475900191184767,0.8832183908045977,0.8733346176461972,0.8924259254359262
no_consequence,random_forest,0.8,0.07272370734956,0.13168086754453912,0.11918343894784017,0.1452726267896814,0.8,0.7593592358943103,0.8352661081693097,0.4287898089171975,0.41338408687955963,0.44433478371905366,0.5935632183908046,0.578890886611102,0.6080704457430817
no_consequence,random_forest,0.85,0.0642934026562465,0.11849427168576104,0.10751006467993131,0.13043670981596106,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3138853503184713,0.2995551054828688,0.32857954558076996,0.7022988505747126,0.6885372085809018,0.7157035100227387
no_consequence,random_forest,0.9,0.0575864271132011,0.11248164464023495,0.10230280577795461,0.12353388041601834,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2300636942675159,0.21716463523595347,0.24349061842855746,0.7827586206896552,0.7702577009034128,0.7947605762357666
no_consequence,random_forest,0.95,0.0494443602497579,0.10668074993398469,0.09724411265773465,0.11691452933233491,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.1380891719745223,0.1276495819050192,0.1492364849476828,0.8705747126436781,0.8602717187132869,0.8802237794561092
no_consequence,xgboost,0.8,0.0587036460638046,0.13481363996827914,0.12203861120363692,0.14869946557968464,0.8,0.7593592358943103,0.8352661081693097,0.44407643312101913,0.42859455045070327,0.4596676752966872,0.5797701149425287,0.5650379029307488,0.594361562245914
no_consequence,xgboost,0.85,0.0495998561382293,0.1222972972972973,0.11098155560515338,0.13459212602837792,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3380891719745223,0.32345448762321205,0.35304047575932374,0.6804597701149425,0.6664488031077491,0.6941522924648165
no_consequence,xgboost,0.9,0.0410123020410537,0.11114335461404527,0.10107909420286036,0.12207361238089649,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.21961783439490445,0.20694404053127782,0.2328399204482354,0.792183908045977,0.7798712070863424,0.803981012624143
no_consequence,xgboost,0.95,0.0337309129536151,0.10436579695169207,0.09512359885729113,0.11439244649538186,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.11668789808917197,0.10701679792551272,0.12710857171890136,0.8898850574712643,0.8802364309288431,0.8988456812890824
main,xgboost_depth_1_12,0.8,0.0566325932741165,0.13322884012539185,0.1205941233757092,0.14696607933585862,0.8,0.7593592358943103,0.8352661081693097,0.4364331210191083,0.42098744847023783,0.4520030997027641,0.5866666666666667,0.5719629171213853,0.601217481644038
main,xgboost_depth_1_12,0.85,0.0482004135847091,0.12267028126058963,0.11132209731152636,0.13499956459962834,0.851764705882353,0.8148357311181423,0.8823916330976317,0.34038216560509554,0.325720917979143,0.35535554867570945,0.6783908045977012,0.6643580581372441,0.6921087573586935
main,xgboost_depth_1_12,0.9,0.0418949387967586,0.11599030890369473,0.105511848687397,0.12736122414753642,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.25630573248407645,0.2428900552017331,0.27019795813484526,0.759080459770115,0.7461472394452056,0.7715564990392296
main,xgboost_depth_1_12,0.95,0.032035507261753,0.10485336101738904,0.09557017168356216,0.1149236916210837,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.12127388535031847,0.11142981227319614,0.13185856391585107,0.8857471264367817,0.8759513357138095,0.8948622163508598
no_consequence,xgboost_depth_1_12,0.8,0.0577032379806041,0.13178294573643412,0.11927645673031677,0.14538430892393908,0.8,0.7593592358943103,0.8352661081693097,0.42929936305732486,0.41389086082701027,0.4448461216098956,0.593103448275862,0.5784289295885802,0.6076136738596861
no_consequence,xgboost_depth_1_12,0.85,0.0482389479875564,0.11990725405763498,0.10879970954853653,0.13198085031074502,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3230573248407643,0.30860647358243964,0.3378541905704654,0.6940229885057472,0.6801626304801827,0.7075409678169453
no_consequence,xgboost_depth_1_12,0.9,0.0416413582861423,0.11364985163204748,0.10337112938853683,0.12480837110577138,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23898089171974524,0.22589859623738917,0.2525736145972417,0.774712643678161,0.7620585013465234,0.7868820199391021
no_consequence,xgboost_depth_1_12,0.95,0.0331909470260143,0.10551057717419692,0.09617216661512301,0.11563974043685432,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.12738853503184713,0.11732112546711711,0.13818459278144096,0.8802298850574712,0.8702439728266314,0.8895448323670294
