number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
19,0.25547885107790985,2026-09-19 17:24:25.695900,2026-09-19 17:24:28.179721,0 days 00:00:02.483821,0.5810919991798709,0.036572895385472065,1,959,2.4962998897817834,3.665572987381574,0.9353413557754864,,"{""colsample_bytree"": 0.5810919991798709, ""learning_rate"": 0.036572895385472065, ""max_depth"": 1, ""n_estimators"": 959, ""reg_alpha"": 2.4962998897817834, ""reg_lambda"": 3.665572987381574, ""subsample"": 0.9353413557754864}",COMPLETE
20,0.2127767617605425,2026-09-19 17:24:28.179721,2026-09-19 17:24:29.344424,0 days 00:00:01.164703,0.604357156180617,0.010793189453039533,1,1137,1.4432953747032295,3.7815409378743614,0.7617722260965021,,"{""colsample_bytree"": 0.604357156180617, ""learning_rate"": 0.010793189453039533, ""max_depth"": 1, ""n_estimators"": 1137, ""reg_alpha"": 1.4432953747032295, ""reg_lambda"": 3.7815409378743614, ""subsample"": 0.7617722260965021}",PRUNED
21,0.17935339973527012,2026-09-19 17:24:29.344424,2026-09-19 17:24:30.161963,0 days 00:00:00.817539,0.5346142577815198,0.026843501330230293,3,832,2.928394474541664,4.121933803976013,0.9628373877469295,,"{""colsample_bytree"": 0.5346142577815198, ""learning_rate"": 0.026843501330230293, ""max_depth"": 3, ""n_estimators"": 832, ""reg_alpha"": 2.928394474541664, ""reg_lambda"": 4.121933803976013, ""subsample"": 0.9628373877469295}",PRUNED
22,0.2542011365433695,2026-09-19 17:24:30.161963,2026-09-19 17:24:32.972744,0 days 00:00:02.810781,0.5506790180561231,0.027180586624884862,1,1173,0.7152570904871123,3.3494876774053703,0.9635565403767024,,"{""colsample_bytree"": 0.5506790180561231, ""learning_rate"": 0.027180586624884862, ""max_depth"": 1, ""n_estimators"": 1173, ""reg_alpha"": 0.7152570904871123, ""reg_lambda"": 3.3494876774053703, ""subsample"": 0.9635565403767024}",COMPLETE
23,0.17804375245491758,2026-09-19 17:24:32.972744,2026-09-19 17:24:35.151054,0 days 00:00:02.178310,0.5512700599265441,0.02159691331232363,5,1065,1.163142047528699,3.5339776612446103,0.9136175648095555,,"{""colsample_bytree"": 0.5512700599265441, ""learning_rate"": 0.02159691331232363, ""max_depth"": 5, ""n_estimators"": 1065, ""reg_alpha"": 1.163142047528699, ""reg_lambda"": 3.5339776612446103, ""subsample"": 0.9136175648095555}",PRUNED
24,0.25516639015427345,2026-09-19 17:24:35.151054,2026-09-19 17:24:37.708809,0 days 00:00:02.557755,0.6271641836327535,0.02483588733131084,1,985,1.6399266073423109,2.8077015345811036,0.9544741726763475,,"{""colsample_bytree"": 0.6271641836327535, ""learning_rate"": 0.02483588733131084, ""max_depth"": 1, ""n_estimators"": 985, ""reg_alpha"": 1.6399266073423109, ""reg_lambda"": 2.8077015345811036, ""subsample"": 0.9544741726763475}",COMPLETE
25,0.18518043409309337,2026-09-19 17:24:37.708809,2026-09-19 17:24:38.600849,0 days 00:00:00.892040,0.5506914732604659,0.012512985322462812,3,931,1.3009064507944386,3.351052717650529,0.7284294398229574,,"{""colsample_bytree"": 0.5506914732604659, ""learning_rate"": 0.012512985322462812, ""max_depth"": 3, ""n_estimators"": 931, ""reg_alpha"": 1.3009064507944386, ""reg_lambda"": 3.351052717650529, ""subsample"": 0.7284294398229574}",PRUNED
26,0.25768737609933473,2026-09-19 17:24:38.600849,2026-09-19 17:24:41.506891,0 days 00:00:02.906042,0.6204899402657424,0.02043859493985775,1,1091,0.7949481083097863,2.4285107535062798,0.7930276436766819,,"{""colsample_bytree"": 0.6204899402657424, ""learning_rate"": 0.02043859493985775, ""max_depth"": 1, ""n_estimators"": 1091, ""reg_alpha"": 0.7949481083097863, ""reg_lambda"": 2.4285107535062798, ""subsample"": 0.7930276436766819}",COMPLETE
27,0.23669845905925405,2026-09-19 17:24:41.506891,2026-09-19 17:24:45.611962,0 days 00:00:04.105071,0.5288634682771902,0.011624054845037993,3,1087,0.7177088922000279,2.8237023620849993,0.7988204715734856,,"{""colsample_bytree"": 0.5288634682771902, ""learning_rate"": 0.011624054845037993, ""max_depth"": 3, ""n_estimators"": 1087, ""reg_alpha"": 0.7177088922000279, ""reg_lambda"": 2.8237023620849993, ""subsample"": 0.7988204715734856}",PRUNED
28,0.1731957267504744,2026-09-19 17:24:45.611962,2026-09-19 17:24:46.303088,0 days 00:00:00.691126,0.6513900092315598,0.02798532501285974,2,1018,1.0439229419022436,2.608042646188473,0.7434703011312961,,"{""colsample_bytree"": 0.6513900092315598, ""learning_rate"": 0.02798532501285974, ""max_depth"": 2, ""n_estimators"": 1018, ""reg_alpha"": 1.0439229419022436, ""reg_lambda"": 2.608042646188473, ""subsample"": 0.7434703011312961}",PRUNED
29,0.2189928269694484,2026-09-19 17:24:46.303088,2026-09-19 17:24:47.450500,0 days 00:00:01.147412,0.6519263876463736,0.01962021215057912,1,1136,1.502054221810898,1.989719051513943,0.8877199278369099,,"{""colsample_bytree"": 0.6519263876463736, ""learning_rate"": 0.01962021215057912, ""max_depth"": 1, ""n_estimators"": 1136, ""reg_alpha"": 1.502054221810898, ""reg_lambda"": 1.989719051513943, ""subsample"": 0.8877199278369099}",PRUNED
