number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.276073140128683,2026-09-19 16:43:01.251969,2026-09-19 16:43:03.699473,0 days 00:00:02.447504,0.04703277038662568,0.015348627248568662,"{'C': 0.04703277038662568, 'l1_ratio': 0.015348627248568662}",,COMPLETE
1,0.26512718715787387,2026-09-19 16:43:03.699473,2026-09-19 16:43:07.715869,0 days 00:00:04.016396,0.0074593432857265485,0.9507143064099162,,,COMPLETE
2,0.27408424197148273,2026-09-19 16:43:07.715869,2026-09-19 16:43:20.812392,0 days 00:00:13.096523,0.4570563099801455,0.5986584841970366,,,COMPLETE
3,0.2521108420266065,2026-09-19 16:43:20.812392,2026-09-19 16:43:21.012983,0 days 00:00:00.200591,0.0006026889128682511,0.15599452033620265,,,COMPLETE
4,0.09770114942528736,2026-09-19 16:43:21.012983,2026-09-19 16:43:21.052597,0 days 00:00:00.039614,0.00019517224641449495,0.8661761457749352,,,COMPLETE
5,0.2748647795523566,2026-09-19 16:43:21.052597,2026-09-19 16:43:35.743779,0 days 00:00:14.691182,0.10129197956845731,0.7080725777960455,,,COMPLETE
6,0.09770114942528736,2026-09-19 16:43:35.743779,2026-09-19 16:43:35.751858,0 days 00:00:00.008079,0.00012674255898937226,0.9699098521619943,,,PRUNED
7,0.2692293503523132,2026-09-19 16:43:35.752884,2026-09-19 16:43:54.579486,0 days 00:00:18.826602,1.452824663751602,0.21233911067827616,,,COMPLETE
8,0.25278658193739284,2026-09-19 16:43:54.579486,2026-09-19 16:43:54.614789,0 days 00:00:00.035303,0.0008111941985431928,0.18340450985343382,,,PRUNED
9,0.25766119155879064,2026-09-19 16:43:54.614789,2026-09-19 16:43:54.656928,0 days 00:00:00.042139,0.0033205591037519565,0.5247564316322378,,,PRUNED
10,0.27504261024022586,2026-09-19 16:43:54.656928,2026-09-19 16:44:07.848606,0 days 00:00:13.191678,0.0445055854364653,0.17111407467517822,,"{""C"": 0.0445055854364653, ""l1_ratio"": 0.17111407467517822}",COMPLETE
11,0.276120569919843,2026-09-19 16:44:07.848606,2026-09-19 16:44:21.357484,0 days 00:00:13.508878,0.05568772245095449,0.15437885332333082,,"{""C"": 0.05568772245095449, ""l1_ratio"": 0.15437885332333082}",COMPLETE
12,0.27699139641028914,2026-09-19 16:44:21.357484,2026-09-19 16:44:22.333745,0 days 00:00:00.976261,0.008675548171550671,0.002796794080371312,,"{""C"": 0.008675548171550671, ""l1_ratio"": 0.002796794080371312}",COMPLETE
13,0.27706056851374733,2026-09-19 16:44:22.333745,2026-09-19 16:44:35.387328,0 days 00:00:13.053583,0.03135994897771697,0.42473624685839895,,"{""C"": 0.03135994897771697, ""l1_ratio"": 0.42473624685839895}",COMPLETE
14,0.2729307363424909,2026-09-19 16:44:35.387328,2026-09-19 16:44:35.442743,0 days 00:00:00.055415,0.0050000977475414725,0.4091772057050851,,"{""C"": 0.0050000977475414725, ""l1_ratio"": 0.4091772057050851}",PRUNED
15,0.288778185319808,2026-09-19 16:44:35.442743,2026-09-19 16:44:47.909222,0 days 00:00:12.466479,0.03351255708410337,0.4438485326113909,,"{""C"": 0.03351255708410337, ""l1_ratio"": 0.4438485326113909}",PRUNED
16,0.283903477824883,2026-09-19 16:44:47.909222,2026-09-19 16:45:10.788577,0 days 00:00:22.879355,7.247404542627483,0.973224659878736,,"{""C"": 7.247404542627483, ""l1_ratio"": 0.973224659878736}",PRUNED
17,0.281436170196433,2026-09-19 16:45:10.788577,2026-09-19 16:45:11.084695,0 days 00:00:00.296118,0.0006287060637585807,0.007593063992532495,,"{""C"": 0.0006287060637585807, ""l1_ratio"": 0.007593063992532495}",COMPLETE
