technique,model,group,level,n,detected,missed,sensitivity,low,high
level_weight,lr_penalized,non diabetici,alto,39,37,2,0.9487179487179487,0.8311435995238639,0.9858220445847259
level_weight,lr_penalized,non diabetici,molto alto,16,13,3,0.8125,0.5699111903802586,0.9340840092857187
level_weight,lr_penalized,non diabetici,gravi (alto + molto alto),55,50,5,0.9090909090909091,0.8042250541602005,0.9605418449258196
level_weight,lr_penalized,tutti,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
level_weight,lr_penalized,tutti,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
level_weight,lr_penalized,tutti,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
level_weight,lr_penalized,tutti,gravi (alto + molto alto),71,66,5,0.9295774647887324,0.8455098688621009,0.969546397560289
level_weight,random_forest,diabetici,moderato,52,52,0,1.0,0.9312077638761376,1.0
level_weight,random_forest,diabetici,alto,11,11,0,1.0,0.7411670330319684,1.0
level_weight,random_forest,diabetici,molto alto,5,5,0,1.0,0.5655175352168251,1.0
level_weight,random_forest,diabetici,gravi (alto + molto alto),16,16,0,1.0,0.8063923194655637,1.0
level_weight,random_forest,non diabetici,moderato,302,265,37,0.8774834437086093,0.8356909579693679,0.9097933229360202
level_weight,random_forest,non diabetici,alto,39,37,2,0.9487179487179487,0.8311435995238639,0.9858220445847259
level_weight,random_forest,non diabetici,molto alto,16,13,3,0.8125,0.5699111903802586,0.9340840092857187
level_weight,random_forest,non diabetici,gravi (alto + molto alto),55,50,5,0.9090909090909091,0.8042250541602005,0.9605418449258196
level_weight,random_forest,tutti,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
level_weight,random_forest,tutti,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
level_weight,random_forest,tutti,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
level_weight,random_forest,tutti,gravi (alto + molto alto),71,66,5,0.9295774647887324,0.8455098688621009,0.969546397560289
level_weight,xgboost,diabetici,moderato,52,52,0,1.0,0.9312077638761376,1.0
level_weight,xgboost,diabetici,alto,11,11,0,1.0,0.7411670330319684,1.0
level_weight,xgboost,diabetici,molto alto,5,5,0,1.0,0.5655175352168251,1.0
level_weight,xgboost,diabetici,gravi (alto + molto alto),16,16,0,1.0,0.8063923194655637,1.0
level_weight,xgboost,non diabetici,moderato,302,264,38,0.8741721854304636,0.8320070336697024,0.90693791143827
level_weight,xgboost,non diabetici,alto,39,38,1,0.9743589743589743,0.8681900983014992,0.9954592968990099
level_weight,xgboost,non diabetici,molto alto,16,13,3,0.8125,0.5699111903802586,0.9340840092857187
level_weight,xgboost,non diabetici,gravi (alto + molto alto),55,51,4,0.9272727272727272,0.8274005992784393,0.9713559397669594
level_weight,xgboost,tutti,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
level_weight,xgboost,tutti,alto,50,49,1,0.98,0.8950455641036218,0.9964607407283538
level_weight,xgboost,tutti,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
level_weight,xgboost,tutti,gravi (alto + molto alto),71,67,4,0.9436619718309859,0.8639039420002305,0.9778754806983033
