number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
56,0.23149411501726153,2026-09-19 12:14:39.071382,2026-09-19 12:14:40.205578,0 days 00:00:01.134196,0.5077584522256853,0.013079921146502686,1,1051,0.9180909933627958,1.8594469210725615,0.8052441510066746,"{""colsample_bytree"": 0.5077584522256853, ""learning_rate"": 0.013079921146502686, ""max_depth"": 1, ""n_estimators"": 1051, ""reg_alpha"": 0.9180909933627958, ""reg_lambda"": 1.8594469210725615, ""subsample"": 0.8052441510066746}",PRUNED
57,0.2716823878619789,2026-09-19 12:14:40.205578,2026-09-19 12:14:42.900056,0 days 00:00:02.694478,0.5623193886719097,0.024597964904101797,1,979,0.8457245431932977,2.5879418648516155,0.837085967617968,"{""colsample_bytree"": 0.5623193886719097, ""learning_rate"": 0.024597964904101797, ""max_depth"": 1, ""n_estimators"": 979, ""reg_alpha"": 0.8457245431932977, ""reg_lambda"": 2.5879418648516155, ""subsample"": 0.837085967617968}",COMPLETE
58,0.19129456721417093,2026-09-19 12:14:42.900056,2026-09-19 12:14:43.467037,0 days 00:00:00.566981,0.5608768269622163,0.0297567664575324,1,1007,0.7519998652935997,2.213883386046939,0.8290519922166492,"{""colsample_bytree"": 0.5608768269622163, ""learning_rate"": 0.0297567664575324, ""max_depth"": 1, ""n_estimators"": 1007, ""reg_alpha"": 0.7519998652935997, ""reg_lambda"": 2.213883386046939, ""subsample"": 0.8290519922166492}",PRUNED
59,0.2735999559206832,2026-09-19 12:14:43.467037,2026-09-19 12:14:46.223596,0 days 00:00:02.756559,0.5002564203154798,0.026810838362195655,1,954,0.48780293788370344,2.50488853962558,0.7716717378013382,"{""colsample_bytree"": 0.5002564203154798, ""learning_rate"": 0.026810838362195655, ""max_depth"": 1, ""n_estimators"": 954, ""reg_alpha"": 0.48780293788370344, ""reg_lambda"": 2.50488853962558, ""subsample"": 0.7716717378013382}",COMPLETE
60,0.2719113434731639,2026-09-19 12:14:46.223596,2026-09-19 12:14:49.031936,0 days 00:00:02.808340,0.5267279462006911,0.018993817307487157,1,1029,0.6128680478132231,2.8111682704399152,0.726030546505251,"{""colsample_bytree"": 0.5267279462006911, ""learning_rate"": 0.018993817307487157, ""max_depth"": 1, ""n_estimators"": 1029, ""reg_alpha"": 0.6128680478132231, ""reg_lambda"": 2.8111682704399152, ""subsample"": 0.726030546505251}",COMPLETE
61,0.1923596583110644,2026-09-19 12:14:49.031936,2026-09-19 12:14:49.592947,0 days 00:00:00.561011,0.5642129351266968,0.02458965447736279,1,1015,0.2911974435009633,1.6114719654679028,0.7789997240470123,"{""colsample_bytree"": 0.5642129351266968, ""learning_rate"": 0.02458965447736279, ""max_depth"": 1, ""n_estimators"": 1015, ""reg_alpha"": 0.2911974435009633, ""reg_lambda"": 1.6114719654679028, ""subsample"": 0.7789997240470123}",PRUNED
62,0.27250038914595176,2026-09-19 12:14:49.592947,2026-09-19 12:14:52.459770,0 days 00:00:02.866823,0.5327301207926873,0.015971339919399183,1,1050,0.28902527989447935,2.7557954632202266,0.6937098148109805,"{""colsample_bytree"": 0.5327301207926873, ""learning_rate"": 0.015971339919399183, ""max_depth"": 1, ""n_estimators"": 1050, ""reg_alpha"": 0.28902527989447935, ""reg_lambda"": 2.7557954632202266, ""subsample"": 0.6937098148109805}",COMPLETE
63,0.23465839709518185,2026-09-19 12:14:52.459770,2026-09-19 12:14:53.387710,0 days 00:00:00.927940,0.5182613112695478,0.023810277144574284,1,849,0.3570418325265581,2.300550031833081,0.7927155896445978,"{""colsample_bytree"": 0.5182613112695478, ""learning_rate"": 0.023810277144574284, ""max_depth"": 1, ""n_estimators"": 849, ""reg_alpha"": 0.3570418325265581, ""reg_lambda"": 2.300550031833081, ""subsample"": 0.7927155896445978}",PRUNED
64,0.27242125061400735,2026-09-19 12:14:53.387710,2026-09-19 12:14:56.226795,0 days 00:00:02.839085,0.5380354960052016,0.019270201680975943,1,1043,0.31911383284774275,2.675005553491707,0.7158609592200753,"{""colsample_bytree"": 0.5380354960052016, ""learning_rate"": 0.019270201680975943, ""max_depth"": 1, ""n_estimators"": 1043, ""reg_alpha"": 0.31911383284774275, ""reg_lambda"": 2.675005553491707, ""subsample"": 0.7158609592200753}",COMPLETE
65,0.27370379122309413,2026-09-19 12:14:56.226795,2026-09-19 12:14:59.008432,0 days 00:00:02.781637,0.5461288903568664,0.017453867142010523,1,1072,0.23846324089813728,2.2059510390595167,0.7386778156838665,"{""colsample_bytree"": 0.5461288903568664, ""learning_rate"": 0.017453867142010523, ""max_depth"": 1, ""n_estimators"": 1072, ""reg_alpha"": 0.23846324089813728, ""reg_lambda"": 2.2059510390595167, ""subsample"": 0.7386778156838665}",COMPLETE
66,0.1936717732054163,2026-09-19 12:14:59.008432,2026-09-19 12:14:59.604727,0 days 00:00:00.596295,0.654571622000946,0.02211523385585677,1,1130,0.35792072062976754,2.1801656944883434,0.7627507788715927,"{""colsample_bytree"": 0.654571622000946, ""learning_rate"": 0.02211523385585677, ""max_depth"": 1, ""n_estimators"": 1130, ""reg_alpha"": 0.35792072062976754, ""reg_lambda"": 2.1801656944883434, ""subsample"": 0.7627507788715927}",PRUNED
67,0.1925689131802171,2026-09-19 12:14:59.604727,2026-09-19 12:15:00.152683,0 days 00:00:00.547956,0.5443956013920749,0.027503020688116032,1,1015,0.8899612890800681,2.0100730452102686,0.7272568317662753,"{""colsample_bytree"": 0.5443956013920749, ""learning_rate"": 0.027503020688116032, ""max_depth"": 1, ""n_estimators"": 1015, ""reg_alpha"": 0.8899612890800681, ""reg_lambda"": 2.0100730452102686, ""subsample"": 0.7272568317662753}",PRUNED
68,0.19122899030368162,2026-09-19 12:15:00.152683,2026-09-19 12:15:00.777328,0 days 00:00:00.624645,0.5846116736757832,0.015464058238381028,1,1123,0.25247600125032327,2.547607128488951,0.7336533485450081,"{""colsample_bytree"": 0.5846116736757832, ""learning_rate"": 0.015464058238381028, ""max_depth"": 1, ""n_estimators"": 1123, ""reg_alpha"": 0.25247600125032327, ""reg_lambda"": 2.547607128488951, ""subsample"": 0.7336533485450081}",PRUNED
69,0.1946709493062422,2026-09-19 12:15:00.777328,2026-09-19 12:15:01.404611,0 days 00:00:00.627283,0.5846635896345465,0.021999738663567275,1,1139,0.28396504079385687,2.805196151046863,0.7743185997710748,"{""colsample_bytree"": 0.5846635896345465, ""learning_rate"": 0.021999738663567275, ""max_depth"": 1, ""n_estimators"": 1139, ""reg_alpha"": 0.28396504079385687, ""reg_lambda"": 2.805196151046863, ""subsample"": 0.7743185997710748}",PRUNED
70,0.19265854239154706,2026-09-19 12:15:01.404611,2026-09-19 12:15:02.073890,0 days 00:00:00.669279,0.5419041481289478,0.016197092424115725,2,966,0.35898047427289637,2.7773924992945895,0.8048271292511151,"{""colsample_bytree"": 0.5419041481289478, ""learning_rate"": 0.016197092424115725, ""max_depth"": 2, ""n_estimators"": 966, ""reg_alpha"": 0.35898047427289637, ""reg_lambda"": 2.7773924992945895, ""subsample"": 0.8048271292511151}",PRUNED
71,0.19190694127961763,2026-09-19 12:15:02.073890,2026-09-19 12:15:02.637124,0 days 00:00:00.563234,0.511738932982688,0.0175690926362613,1,1037,0.06337305106641411,2.8351091381834364,0.7999544950082942,"{""colsample_bytree"": 0.511738932982688, ""learning_rate"": 0.0175690926362613, ""max_depth"": 1, ""n_estimators"": 1037, ""reg_alpha"": 0.06337305106641411, ""reg_lambda"": 2.8351091381834364, ""subsample"": 0.7999544950082942}",PRUNED
72,0.19387614200291153,2026-09-19 12:15:02.637124,2026-09-19 12:15:03.192502,0 days 00:00:00.555378,0.5080983215609435,0.02658367574125811,1,1005,0.41414468880358,2.8627696215723835,0.7648227352790021,"{""colsample_bytree"": 0.5080983215609435, ""learning_rate"": 0.02658367574125811, ""max_depth"": 1, ""n_estimators"": 1005, ""reg_alpha"": 0.41414468880358, ""reg_lambda"": 2.8627696215723835, ""subsample"": 0.7648227352790021}",PRUNED
73,0.27186945034709653,2026-09-19 12:15:03.192502,2026-09-19 12:15:05.834732,0 days 00:00:02.642230,0.5642217151374415,0.02113440494575593,1,927,0.3308429521111733,2.8920101651965284,0.6983722522388484,"{""colsample_bytree"": 0.5642217151374415, ""learning_rate"": 0.02113440494575593, ""max_depth"": 1, ""n_estimators"": 927, ""reg_alpha"": 0.3308429521111733, ""reg_lambda"": 2.8920101651965284, ""subsample"": 0.6983722522388484}",COMPLETE
74,0.18982955926384976,2026-09-19 12:15:05.834732,2026-09-19 12:15:06.367814,0 days 00:00:00.533082,0.5564024868021009,0.02985755361212499,1,963,0.34029486508517337,2.3034268453358995,0.7562220411487115,"{""colsample_bytree"": 0.5564024868021009, ""learning_rate"": 0.02985755361212499, ""max_depth"": 1, ""n_estimators"": 963, ""reg_alpha"": 0.34029486508517337, ""reg_lambda"": 2.3034268453358995, ""subsample"": 0.7562220411487115}",PRUNED
75,0.26922728273653157,2026-09-19 12:15:06.368813,2026-09-19 12:15:10.117058,0 days 00:00:03.748245,0.506066087498656,0.013614860107915348,2,1015,0.08321651712578423,2.6343287836424016,0.6887999153724434,"{""colsample_bytree"": 0.506066087498656, ""learning_rate"": 0.013614860107915348, ""max_depth"": 2, ""n_estimators"": 1015, ""reg_alpha"": 0.08321651712578423, ""reg_lambda"": 2.6343287836424016, ""subsample"": 0.6887999153724434}",COMPLETE
76,0.2752441657277146,2026-09-19 12:15:10.118058,2026-09-19 12:15:12.678960,0 days 00:00:02.560902,0.5195777595691491,0.0233145463904139,1,928,0.7220137187502591,2.471933507190443,0.7606800679729733,"{""colsample_bytree"": 0.5195777595691491, ""learning_rate"": 0.0233145463904139, ""max_depth"": 1, ""n_estimators"": 928, ""reg_alpha"": 0.7220137187502591, ""reg_lambda"": 2.471933507190443, ""subsample"": 0.7606800679729733}",COMPLETE
