number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.19367413169543735,2026-09-19 04:30:37.369701,2026-09-19 04:30:41.158466,0 days 00:00:03.788765,0.5780093202212182,0.2536999076681772,10,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,COMPLETE
1,0.21446858547060024,2026-09-19 04:30:41.158466,2026-09-19 04:30:50.644619,0 days 00:00:09.486153,0.9849549260809971,0.07725378389307355,10,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,COMPLETE
2,0.21810018671036963,2026-09-19 04:30:50.644619,2026-09-19 04:30:56.752398,0 days 00:00:06.107779,0.7159725093210578,0.018659959624904916,6,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,COMPLETE
3,0.22181524224449478,2026-09-19 04:30:56.752398,2026-09-19 04:31:02.937713,0 days 00:00:06.185315,0.8925879806965068,0.027010527749605478,6,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,COMPLETE
4,0.22880507917462084,2026-09-19 04:31:02.937713,2026-09-19 04:31:16.296546,0 days 00:00:13.358833,0.5325257964926398,0.011711509955524094,9,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,COMPLETE
5,0.1657087610867459,2026-09-19 04:31:16.296546,2026-09-19 04:31:17.263404,0 days 00:00:00.966858,0.7200762468698007,0.028180680291847244,3,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,PRUNED
6,0.17184414570303658,2026-09-19 04:31:17.263404,2026-09-19 04:31:17.657685,0 days 00:00:00.394281,0.6558555380447055,0.22038218939289875,5,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,PRUNED
7,0.16959619410553706,2026-09-19 04:31:17.657685,2026-09-19 04:31:18.287216,0 days 00:00:00.629531,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,PRUNED
8,0.24217096543965577,2026-09-19 04:31:18.287216,2026-09-19 04:31:19.779774,0 days 00:00:01.492558,0.6943386448447411,0.01947558230629543,3,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,COMPLETE
9,0.17372321665828877,2026-09-19 04:31:19.779774,2026-09-19 04:31:22.349495,0 days 00:00:02.569721,0.9010984903770198,0.026000059117302653,8,557,0.3727532183988541,4.9344346830025865,0.6563696899899051,,PRUNED
10,0.1639408952349455,2026-09-19 04:31:22.349495,2026-09-19 04:31:22.937537,0 days 00:00:00.588042,0.7146334367602184,0.05304539620046197,3,664,3.787268579910349,1.7187343523663845,0.6160894317513417,"{""colsample_bytree"": 0.7146334367602184, ""learning_rate"": 0.05304539620046197, ""max_depth"": 3, ""n_estimators"": 664, ""reg_alpha"": 3.787268579910349, ""reg_lambda"": 1.7187343523663845, ""subsample"": 0.6160894317513417}",PRUNED
11,0.22199776100524576,2026-09-19 04:31:22.937537,2026-09-19 04:31:38.044885,0 days 00:00:15.107348,0.660209607243769,0.014788673318483887,9,763,3.993459228006909,4.336936064015298,0.7392203375502684,"{""colsample_bytree"": 0.660209607243769, ""learning_rate"": 0.014788673318483887, ""max_depth"": 9, ""n_estimators"": 763, ""reg_alpha"": 3.993459228006909, ""reg_lambda"": 4.336936064015298, ""subsample"": 0.7392203375502684}",COMPLETE
12,0.17637489761127514,2026-09-19 04:31:38.044885,2026-09-19 04:31:39.246753,0 days 00:00:01.201868,0.5832658348041136,0.0170100100733282,4,905,4.38212585202865,4.131408226506311,0.6797083549266096,"{""colsample_bytree"": 0.5832658348041136, ""learning_rate"": 0.0170100100733282, ""max_depth"": 4, ""n_estimators"": 905, ""reg_alpha"": 4.38212585202865, ""reg_lambda"": 4.131408226506311, ""subsample"": 0.6797083549266096}",PRUNED
13,0.2370903223953241,2026-09-19 04:31:39.246753,2026-09-19 04:31:41.487403,0 days 00:00:02.240650,0.632771086974758,0.018216175311991083,4,326,1.8363792576366726,4.510020149822756,0.698823346771263,"{""colsample_bytree"": 0.632771086974758, ""learning_rate"": 0.018216175311991083, ""max_depth"": 4, ""n_estimators"": 326, ""reg_alpha"": 1.8363792576366726, ""reg_lambda"": 4.510020149822756, ""subsample"": 0.698823346771263}",COMPLETE
14,0.2448655305164502,2026-09-19 04:31:41.487403,2026-09-19 04:31:43.050123,0 days 00:00:01.562720,0.6882359041151164,0.013297632449769198,3,294,1.3599495706672913,4.072821271937603,0.6640610056965446,"{""colsample_bytree"": 0.6882359041151164, ""learning_rate"": 0.013297632449769198, ""max_depth"": 3, ""n_estimators"": 294, ""reg_alpha"": 1.3599495706672913, ""reg_lambda"": 4.072821271937603, ""subsample"": 0.6640610056965446}",COMPLETE
