number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_tpe:relative_params:0,state
0,0.17875136907093903,2026-09-19 02:43:19.555476,2026-09-19 02:43:20.005470,0 days 00:00:00.449994,0.0074593432857265485,0.9507143064099162,,COMPLETE
1,0.28740224132181763,2026-09-19 02:43:20.005470,2026-09-19 02:43:31.218091,0 days 00:00:11.212621,0.4570563099801455,0.5986584841970366,,COMPLETE
2,0.09770114942528736,2026-09-19 02:43:31.218091,2026-09-19 02:43:31.325269,0 days 00:00:00.107178,0.0006026889128682511,0.15599452033620265,,COMPLETE
3,0.09770114942528736,2026-09-19 02:43:31.325269,2026-09-19 02:43:31.363433,0 days 00:00:00.038164,0.00019517224641449495,0.8661761457749352,,COMPLETE
4,0.2783927884525421,2026-09-19 02:43:31.363433,2026-09-19 02:43:34.370108,0 days 00:00:03.006675,0.10129197956845731,0.7080725777960455,,COMPLETE
5,0.09770114942528736,2026-09-19 02:43:34.370108,2026-09-19 02:43:34.378290,0 days 00:00:00.008182,0.00012674255898937226,0.9699098521619943,,PRUNED
6,0.2762553480977866,2026-09-19 02:43:34.378290,2026-09-19 02:43:51.389913,0 days 00:00:17.011623,1.452824663751602,0.21233911067827616,,COMPLETE
7,0.09770114942528736,2026-09-19 02:43:51.389913,2026-09-19 02:43:51.411897,0 days 00:00:00.021984,0.0008111941985431928,0.18340450985343382,,PRUNED
8,0.09770114942528736,2026-09-19 02:43:51.411897,2026-09-19 02:43:51.443059,0 days 00:00:00.031162,0.0033205591037519565,0.5247564316322378,,PRUNED
9,0.28105327714674366,2026-09-19 02:43:51.443059,2026-09-19 02:43:52.325985,0 days 00:00:00.882926,0.01444525102276306,0.2912291401980419,,COMPLETE
10,0.2840157736874233,2026-09-19 02:43:52.325985,2026-09-19 02:44:03.956365,0 days 00:00:11.630380,0.2960820330236865,0.9855794268481846,"{""C"": 0.2960820330236865, ""l1_ratio"": 0.9855794268481846}",COMPLETE
11,0.2780378575215695,2026-09-19 02:44:03.956365,2026-09-19 02:44:25.106362,0 days 00:00:21.149997,2.100311694956912,0.9695371107878656,"{""C"": 2.100311694956912, ""l1_ratio"": 0.9695371107878656}",COMPLETE
12,0.2768440518810269,2026-09-19 02:44:25.106362,2026-09-19 02:44:28.512600,0 days 00:00:03.406238,2.2514805464958934,0.6575870667589222,"{""C"": 2.2514805464958934, ""l1_ratio"": 0.6575870667589222}",PRUNED
13,0.2872603393269351,2026-09-19 02:44:28.512600,2026-09-19 02:44:38.856251,0 days 00:00:10.343651,0.4250210578789875,0.45721661988591294,"{""C"": 0.4250210578789875, ""l1_ratio"": 0.45721661988591294}",COMPLETE
