number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_tpe:relative_params:0,state
29,0.1996831513157326,2026-09-19 02:42:02.282654,2026-09-19 02:42:02.406253,0 days 00:00:00.123599,0.0034407280512206546,0.19870550149005997,"{""C"": 0.0034407280512206546, ""l1_ratio"": 0.19870550149005997}",PRUNED
30,0.25753810632462015,2026-09-19 02:42:02.406253,2026-09-19 02:42:21.462431,0 days 00:00:19.056178,9.92686677050091,0.39282763556632716,"{""C"": 9.92686677050091, ""l1_ratio"": 0.39282763556632716}",PRUNED
31,0.25922932429669543,2026-09-19 02:42:21.462431,2026-09-19 02:42:24.096760,0 days 00:00:02.634329,0.025173616839399983,0.020313155224677897,"{""C"": 0.025173616839399983, ""l1_ratio"": 0.020313155224677897}",COMPLETE
32,0.2588237149182451,2026-09-19 02:42:24.096760,2026-09-19 02:42:25.861837,0 days 00:00:01.765077,0.019697943277230113,0.11258622567357032,"{""C"": 0.019697943277230113, ""l1_ratio"": 0.11258622567357032}",COMPLETE
33,0.2610353888805531,2026-09-19 02:42:25.861837,2026-09-19 02:42:27.190119,0 days 00:00:01.328282,0.00894603357354021,0.05846647839785141,"{""C"": 0.00894603357354021, ""l1_ratio"": 0.05846647839785141}",COMPLETE
34,0.25914261549397133,2026-09-19 02:42:27.190119,2026-09-19 02:42:28.763537,0 days 00:00:01.573418,0.006156381604316098,0.0025659588584843723,"{""C"": 0.006156381604316098, ""l1_ratio"": 0.0025659588584843723}",COMPLETE
35,0.1897149572973773,2026-09-19 02:42:28.763537,2026-09-19 02:42:28.856637,0 days 00:00:00.093100,0.0006028735713927626,0.06177919878110358,"{""C"": 0.0006028735713927626, ""l1_ratio"": 0.06177919878110358}",PRUNED
36,0.20339424308282805,2026-09-19 02:42:28.856637,2026-09-19 02:42:28.976705,0 days 00:00:00.120068,0.0060194067424959915,0.2758543921534139,"{""C"": 0.0060194067424959915, ""l1_ratio"": 0.2758543921534139}",PRUNED
37,0.21215946204424674,2026-09-19 02:42:28.976705,2026-09-19 02:42:29.151940,0 days 00:00:00.175235,0.026442136302967347,0.6151841934499425,"{""C"": 0.026442136302967347, ""l1_ratio"": 0.6151841934499425}",PRUNED
38,0.2689074175200704,2026-09-19 02:42:29.151940,2026-09-19 02:42:31.261228,0 days 00:00:02.109288,0.08041343952807752,0.022393694383815273,"{""C"": 0.08041343952807752, ""l1_ratio"": 0.022393694383815273}",PRUNED
39,0.09770114942528736,2026-09-19 02:42:31.261228,2026-09-19 02:42:31.270783,0 days 00:00:00.009555,0.000117039156921539,0.24766563713659095,"{""C"": 0.000117039156921539, ""l1_ratio"": 0.24766563713659095}",PRUNED
40,0.2623664166214303,2026-09-19 02:42:31.270783,2026-09-19 02:42:37.464223,0 days 00:00:06.193440,0.690258831156486,0.0026285886610831087,"{""C"": 0.690258831156486, ""l1_ratio"": 0.0026285886610831087}",PRUNED
41,0.21366753135069,2026-09-19 02:42:37.464223,2026-09-19 02:42:37.609483,0 days 00:00:00.145260,0.00412804456762693,0.11446385179707397,"{""C"": 0.00412804456762693, ""l1_ratio"": 0.11446385179707397}",PRUNED
42,0.22558186592748833,2026-09-19 02:42:37.609483,2026-09-19 02:42:38.302052,0 days 00:00:00.692569,0.04656045475634199,0.11577649555035706,"{""C"": 0.04656045475634199, ""l1_ratio"": 0.11577649555035706}",PRUNED
43,0.2110104770922339,2026-09-19 02:42:38.302052,2026-09-19 02:42:38.470921,0 days 00:00:00.168869,0.02247636922792152,0.5332712398755343,"{""C"": 0.02247636922792152, ""l1_ratio"": 0.5332712398755343}",PRUNED
44,0.21430480541264532,2026-09-19 02:42:38.470921,2026-09-19 02:42:38.623754,0 days 00:00:00.152833,0.008059705566785346,0.16939299104312744,"{""C"": 0.008059705566785346, ""l1_ratio"": 0.16939299104312744}",PRUNED
45,0.22172769275149923,2026-09-19 02:42:38.623754,2026-09-19 02:42:38.880525,0 days 00:00:00.256771,0.008640894598329592,0.08489223385583125,"{""C"": 0.008640894598329592, ""l1_ratio"": 0.08489223385583125}",PRUNED
46,0.21568278370725663,2026-09-19 02:42:38.880525,2026-09-19 02:42:39.050027,0 days 00:00:00.169502,0.014117247990571194,0.2514935899046559,"{""C"": 0.014117247990571194, ""l1_ratio"": 0.2514935899046559}",PRUNED
47,0.09770114942528736,2026-09-19 02:42:39.050027,2026-09-19 02:42:39.076044,0 days 00:00:00.026017,0.002113875491233375,0.4549288676470734,"{""C"": 0.002113875491233375, ""l1_ratio"": 0.4549288676470734}",PRUNED
48,0.22406678707717426,2026-09-19 02:42:39.076044,2026-09-19 02:42:39.288338,0 days 00:00:00.212294,0.043494816360020234,0.6917104727665866,"{""C"": 0.043494816360020234, ""l1_ratio"": 0.6917104727665866}",PRUNED
49,0.22359519246326862,2026-09-19 02:42:39.288338,2026-09-19 02:42:40.018252,0 days 00:00:00.729914,0.07421119664194471,0.28968860957576825,"{""C"": 0.07421119664194471, ""l1_ratio"": 0.28968860957576825}",PRUNED
50,0.2629575661248731,2026-09-19 02:42:40.018252,2026-09-19 02:42:43.757606,0 days 00:00:03.739354,0.36318994662091547,0.11914873580791739,"{""C"": 0.36318994662091547, ""l1_ratio"": 0.11914873580791739}",PRUNED
51,0.2583483352878883,2026-09-19 02:42:43.757606,2026-09-19 02:42:46.854868,0 days 00:00:03.097262,0.032908861908330624,0.0028743615174863166,"{""C"": 0.032908861908330624, ""l1_ratio"": 0.0028743615174863166}",COMPLETE
52,0.09770114942528736,2026-09-19 02:42:46.854868,2026-09-19 02:42:46.872207,0 days 00:00:00.017339,0.0006451193261790099,0.29205228002772915,"{""C"": 0.0006451193261790099, ""l1_ratio"": 0.29205228002772915}",PRUNED
53,0.26020265668953907,2026-09-19 02:42:46.872207,2026-09-19 02:42:49.121305,0 days 00:00:02.249098,0.017512289196204518,0.016857636784264628,"{""C"": 0.017512289196204518, ""l1_ratio"": 0.016857636784264628}",COMPLETE
54,0.20799432417775832,2026-09-19 02:42:49.121305,2026-09-19 02:42:49.256518,0 days 00:00:00.135213,0.012371499722029675,0.43169124128264114,"{""C"": 0.012371499722029675, ""l1_ratio"": 0.43169124128264114}",PRUNED
55,0.22360237756511198,2026-09-19 02:42:49.256518,2026-09-19 02:42:49.652576,0 days 00:00:00.396058,0.04647772422169687,0.22638671388906917,"{""C"": 0.04647772422169687, ""l1_ratio"": 0.22638671388906917}",PRUNED
56,0.22258171545044073,2026-09-19 02:42:49.652576,2026-09-19 02:42:50.238666,0 days 00:00:00.586090,0.09761967330945885,0.4639132145795959,"{""C"": 0.09761967330945885, ""l1_ratio"": 0.4639132145795959}",PRUNED
57,0.19170276909188536,2026-09-19 02:42:50.239665,2026-09-19 02:42:50.352076,0 days 00:00:00.112411,0.003949869646169635,0.3476655841251448,"{""C"": 0.003949869646169635, ""l1_ratio"": 0.3476655841251448}",PRUNED
58,0.2278207679528918,2026-09-19 02:42:50.352076,2026-09-19 02:42:51.059496,0 days 00:00:00.707420,0.04391368814611414,0.052107764956189316,"{""C"": 0.04391368814611414, ""l1_ratio"": 0.052107764956189316}",PRUNED
59,0.26001324936446935,2026-09-19 02:42:51.059496,2026-09-19 02:42:52.979165,0 days 00:00:01.919669,0.013121605844861576,0.020173929722560848,"{""C"": 0.013121605844861576, ""l1_ratio"": 0.020173929722560848}",COMPLETE
60,0.1957695063854222,2026-09-19 02:42:52.979165,2026-09-19 02:42:53.076846,0 days 00:00:00.097681,0.0010633318296053092,0.09253428210829721,"{""C"": 0.0010633318296053092, ""l1_ratio"": 0.09253428210829721}",PRUNED
61,0.26934473965408584,2026-09-19 02:42:53.076846,2026-09-19 02:42:55.188641,0 days 00:00:02.111795,0.08845754203907749,0.1015052728979355,"{""C"": 0.08845754203907749, ""l1_ratio"": 0.1015052728979355}",PRUNED
62,0.25905279558503186,2026-09-19 02:42:55.188641,2026-09-19 02:42:56.805410,0 days 00:00:01.616769,0.011005837263622788,0.037489476281941166,"{""C"": 0.011005837263622788, ""l1_ratio"": 0.037489476281941166}",COMPLETE
63,0.20037182796738967,2026-09-19 02:42:56.805410,2026-09-19 02:42:56.925399,0 days 00:00:00.119989,0.0028034795893756713,0.14777493034937422,"{""C"": 0.0028034795893756713, ""l1_ratio"": 0.14777493034937422}",PRUNED
64,0.20331036164040825,2026-09-19 02:42:56.925399,2026-09-19 02:42:57.054633,0 days 00:00:00.129234,0.011193910067684765,0.5189547066722835,"{""C"": 0.011193910067684765, ""l1_ratio"": 0.5189547066722835}",PRUNED
65,0.2184305350822643,2026-09-19 02:42:57.054633,2026-09-19 02:42:57.237645,0 days 00:00:00.183012,0.020766021309966486,0.36974086149125385,"{""C"": 0.020766021309966486, ""l1_ratio"": 0.36974086149125385}",PRUNED
66,0.2660270121230084,2026-09-19 02:42:57.237645,2026-09-19 02:43:00.511758,0 days 00:00:03.274113,0.24018720988389072,0.2661705783226046,"{""C"": 0.24018720988389072, ""l1_ratio"": 0.2661705783226046}",PRUNED
67,0.21882776835251855,2026-09-19 02:43:00.511758,2026-09-19 02:43:00.697751,0 days 00:00:00.185993,0.013854267647454817,0.1981879855992983,"{""C"": 0.013854267647454817, ""l1_ratio"": 0.1981879855992983}",PRUNED
68,0.2231520049111469,2026-09-19 02:43:00.697751,2026-09-19 02:43:00.952277,0 days 00:00:00.254526,0.0030774576915585934,0.002978708374558376,"{""C"": 0.0030774576915585934, ""l1_ratio"": 0.002978708374558376}",PRUNED
69,0.22834410662447652,2026-09-19 02:43:00.952277,2026-09-19 02:43:01.246114,0 days 00:00:00.293837,0.017943154798384264,0.15279560831841632,"{""C"": 0.017943154798384264, ""l1_ratio"": 0.15279560831841632}",PRUNED
70,0.22611319525134382,2026-09-19 02:43:01.246114,2026-09-19 02:43:01.589530,0 days 00:00:00.343416,0.03954175053911806,0.3229833764398618,"{""C"": 0.03954175053911806, ""l1_ratio"": 0.3229833764398618}",PRUNED
71,0.21806590224514175,2026-09-19 02:43:01.589530,2026-09-19 02:43:01.806758,0 days 00:00:00.217228,0.004515794160700615,0.05915158236515104,"{""C"": 0.004515794160700615, ""l1_ratio"": 0.05915158236515104}",PRUNED
72,0.22682356192032055,2026-09-19 02:43:01.806758,2026-09-19 02:43:02.346603,0 days 00:00:00.539845,0.0274157082179756,0.0544670172153407,"{""C"": 0.0274157082179756, ""l1_ratio"": 0.0544670172153407}",PRUNED
73,0.22971432035841133,2026-09-19 02:43:02.346603,2026-09-19 02:43:02.639810,0 days 00:00:00.293207,0.01375278621397245,0.07006827652650588,"{""C"": 0.01375278621397245, ""l1_ratio"": 0.07006827652650588}",PRUNED
74,0.22577738647220547,2026-09-19 02:43:02.639810,2026-09-19 02:43:03.542547,0 days 00:00:00.902737,0.08264793067723936,0.22097147506161785,"{""C"": 0.08264793067723936, ""l1_ratio"": 0.22097147506161785}",PRUNED
75,0.2098037581723466,2026-09-19 02:43:03.542547,2026-09-19 02:43:03.684157,0 days 00:00:00.141610,0.007548583992070359,0.22876607644839142,"{""C"": 0.007548583992070359, ""l1_ratio"": 0.22876607644839142}",PRUNED
76,0.21065342825379957,2026-09-19 02:43:03.684157,2026-09-19 02:43:03.830796,0 days 00:00:00.146639,0.011655232760167458,0.33565436182299446,"{""C"": 0.011655232760167458, ""l1_ratio"": 0.33565436182299446}",PRUNED
77,0.26815528549039436,2026-09-19 02:43:03.830796,2026-09-19 02:43:06.219802,0 days 00:00:02.389006,0.12463927508674916,0.14006520772471776,"{""C"": 0.12463927508674916, ""l1_ratio"": 0.14006520772471776}",PRUNED
78,0.2603062795928787,2026-09-19 02:43:06.219802,2026-09-19 02:43:08.475758,0 days 00:00:02.255956,0.018616075818768018,0.026402812028795148,"{""C"": 0.018616075818768018, ""l1_ratio"": 0.026402812028795148}",COMPLETE
79,0.22805635755695353,2026-09-19 02:43:08.476755,2026-09-19 02:43:09.308395,0 days 00:00:00.831640,0.06065618035312637,0.08396242935912769,"{""C"": 0.06065618035312637, ""l1_ratio"": 0.08396242935912769}",PRUNED
80,0.21707674452360537,2026-09-19 02:43:09.308395,2026-09-19 02:43:09.472255,0 days 00:00:00.163860,0.0013028185630573083,0.016844520294357797,"{""C"": 0.0013028185630573083, ""l1_ratio"": 0.016844520294357797}",PRUNED
81,0.19539969331492407,2026-09-19 02:43:09.472255,2026-09-19 02:43:09.585044,0 days 00:00:00.112789,0.005865921238467884,0.45613201240034207,"{""C"": 0.005865921238467884, ""l1_ratio"": 0.45613201240034207}",PRUNED
82,0.25960012981286473,2026-09-19 02:43:09.585044,2026-09-19 02:43:11.689890,0 days 00:00:02.104846,0.016714396701994767,0.029738156679114322,"{""C"": 0.016714396701994767, ""l1_ratio"": 0.029738156679114322}",COMPLETE
83,0.2246185629888098,2026-09-19 02:43:11.690894,2026-09-19 02:43:11.891720,0 days 00:00:00.200826,0.032342344217343215,0.5200290630562999,"{""C"": 0.032342344217343215, ""l1_ratio"": 0.5200290630562999}",PRUNED
84,0.20830377447735254,2026-09-19 02:43:11.891720,2026-09-19 02:43:12.028528,0 days 00:00:00.136808,0.005302825041439974,0.17341272676736602,"{""C"": 0.005302825041439974, ""l1_ratio"": 0.17341272676736602}",PRUNED
85,0.2257145755798892,2026-09-19 02:43:12.028528,2026-09-19 02:43:12.278053,0 days 00:00:00.249525,0.031032751815350843,0.4062620614433292,"{""C"": 0.031032751815350843, ""l1_ratio"": 0.4062620614433292}",PRUNED
86,0.21138644799184889,2026-09-19 02:43:12.278053,2026-09-19 02:43:12.432268,0 days 00:00:00.154215,0.011220609548924051,0.29324160118710313,"{""C"": 0.011220609548924051, ""l1_ratio"": 0.29324160118710313}",PRUNED
87,0.22657758322854896,2026-09-19 02:43:12.432268,2026-09-19 02:43:12.745136,0 days 00:00:00.312868,0.029597164041346442,0.24725484914958348,"{""C"": 0.029597164041346442, ""l1_ratio"": 0.24725484914958348}",PRUNED
88,0.21781695114076796,2026-09-19 02:43:12.745136,2026-09-19 02:43:12.975639,0 days 00:00:00.230503,0.010172052062321349,0.12778386731699287,"{""C"": 0.010172052062321349, ""l1_ratio"": 0.12778386731699287}",PRUNED
89,0.22478168222251235,2026-09-19 02:43:12.975639,2026-09-19 02:43:13.499177,0 days 00:00:00.523538,0.04382491390128609,0.17388299092580467,"{""C"": 0.04382491390128609, ""l1_ratio"": 0.17388299092580467}",PRUNED
