number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
36,0.28354435850071186,2026-09-19 04:28:45.545462,2026-09-19 04:28:45.858153,0 days 00:00:00.312691,0.6120439452377844,0.01632289101862769,4,209,0.3600317715186566,4.050875095359587,0.6298347409225514,"{""colsample_bytree"": 0.6120439452377844, ""learning_rate"": 0.01632289101862769, ""max_depth"": 4, ""n_estimators"": 209, ""reg_alpha"": 0.3600317715186566, ""reg_lambda"": 4.050875095359587, ""subsample"": 0.6298347409225514}",PRUNED
37,0.26379112037972685,2026-09-19 04:28:45.858153,2026-09-19 04:28:47.343093,0 days 00:00:01.484940,0.548952272648373,0.03583183151273113,3,339,0.9973372223147496,3.767635939525375,0.680759591857585,"{""colsample_bytree"": 0.548952272648373, ""learning_rate"": 0.03583183151273113, ""max_depth"": 3, ""n_estimators"": 339, ""reg_alpha"": 0.9973372223147496, ""reg_lambda"": 3.767635939525375, ""subsample"": 0.680759591857585}",COMPLETE
38,0.2825191371391142,2026-09-19 04:28:47.343093,2026-09-19 04:28:47.652469,0 days 00:00:00.309376,0.6009886710289057,0.02340312688809108,4,222,0.9550575954504094,4.31397445292565,0.7011336167859438,"{""colsample_bytree"": 0.6009886710289057, ""learning_rate"": 0.02340312688809108, ""max_depth"": 4, ""n_estimators"": 222, ""reg_alpha"": 0.9550575954504094, ""reg_lambda"": 4.31397445292565, ""subsample"": 0.7011336167859438}",PRUNED
39,0.2651829261255635,2026-09-19 04:28:47.652469,2026-09-19 04:28:49.710240,0 days 00:00:02.057771,0.5971487006184357,0.016336110612487634,3,460,0.19842626902954386,3.128525187971652,0.6427217188907636,"{""colsample_bytree"": 0.5971487006184357, ""learning_rate"": 0.016336110612487634, ""max_depth"": 3, ""n_estimators"": 460, ""reg_alpha"": 0.19842626902954386, ""reg_lambda"": 3.128525187971652, ""subsample"": 0.6427217188907636}",COMPLETE
40,0.27301878825040166,2026-09-19 04:28:49.710240,2026-09-19 04:28:49.970224,0 days 00:00:00.259984,0.7414669100382085,0.034296937069797064,3,254,0.5964125790883568,3.082429461658805,0.6017747739479375,"{""colsample_bytree"": 0.7414669100382085, ""learning_rate"": 0.034296937069797064, ""max_depth"": 3, ""n_estimators"": 254, ""reg_alpha"": 0.5964125790883568, ""reg_lambda"": 3.082429461658805, ""subsample"": 0.6017747739479375}",PRUNED
41,0.25867913578623725,2026-09-19 04:28:49.970224,2026-09-19 04:28:51.970949,0 days 00:00:02.000725,0.6054736808215883,0.016514341083052966,4,304,0.3738720910285231,3.4153760075245345,0.6553849459574187,"{""colsample_bytree"": 0.6054736808215883, ""learning_rate"": 0.016514341083052966, ""max_depth"": 4, ""n_estimators"": 304, ""reg_alpha"": 0.3738720910285231, ""reg_lambda"": 3.4153760075245345, ""subsample"": 0.6553849459574187}",COMPLETE
42,0.2640009567611217,2026-09-19 04:28:51.970949,2026-09-19 04:28:53.649524,0 days 00:00:01.678575,0.6054317395407164,0.032100093411752,3,380,0.07447769825901746,3.2600421320970776,0.6529078767331915,"{""colsample_bytree"": 0.6054317395407164, ""learning_rate"": 0.032100093411752, ""max_depth"": 3, ""n_estimators"": 380, ""reg_alpha"": 0.07447769825901746, ""reg_lambda"": 3.2600421320970776, ""subsample"": 0.6529078767331915}",COMPLETE
43,0.2665019034220725,2026-09-19 04:28:53.649524,2026-09-19 04:28:55.462804,0 days 00:00:01.813280,0.5509344694418971,0.029045271910388647,3,408,0.26216202796528226,3.0432700478941377,0.7055067674491499,"{""colsample_bytree"": 0.5509344694418971, ""learning_rate"": 0.029045271910388647, ""max_depth"": 3, ""n_estimators"": 408, ""reg_alpha"": 0.26216202796528226, ""reg_lambda"": 3.0432700478941377, ""subsample"": 0.7055067674491499}",COMPLETE
44,0.26369905302835867,2026-09-19 04:28:55.462804,2026-09-19 04:28:57.910960,0 days 00:00:02.448156,0.583665855294953,0.01657123640281674,3,517,0.8579184249776137,3.9579661739891376,0.6995242323775677,"{""colsample_bytree"": 0.583665855294953, ""learning_rate"": 0.01657123640281674, ""max_depth"": 3, ""n_estimators"": 517, ""reg_alpha"": 0.8579184249776137, ""reg_lambda"": 3.9579661739891376, ""subsample"": 0.6995242323775677}",COMPLETE
45,0.26981014943504616,2026-09-19 04:28:57.910960,2026-09-19 04:28:59.097965,0 days 00:00:01.187005,0.5753340119931516,0.025628337370209617,3,251,0.32205920493841955,2.8084465241089593,0.683961034485069,"{""colsample_bytree"": 0.5753340119931516, ""learning_rate"": 0.025628337370209617, ""max_depth"": 3, ""n_estimators"": 251, ""reg_alpha"": 0.32205920493841955, ""reg_lambda"": 2.8084465241089593, ""subsample"": 0.683961034485069}",COMPLETE
46,0.26196565510541864,2026-09-19 04:28:59.097965,2026-09-19 04:29:00.806554,0 days 00:00:01.708589,0.580248269673997,0.035858334672572025,3,346,0.25810052113269066,3.031374168376291,0.7425099071108441,"{""colsample_bytree"": 0.580248269673997, ""learning_rate"": 0.035858334672572025, ""max_depth"": 3, ""n_estimators"": 346, ""reg_alpha"": 0.25810052113269066, ""reg_lambda"": 3.031374168376291, ""subsample"": 0.7425099071108441}",COMPLETE
