number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_tpe:relative_params:0,state
0,0.14767164359252327,2026-09-19 02:52:10.417690,2026-09-19 02:52:10.847776,0 days 00:00:00.430086,0.0074593432857265485,0.9507143064099162,,COMPLETE
1,0.2680571878446048,2026-09-19 02:52:10.847776,2026-09-19 02:52:21.688866,0 days 00:00:10.841090,0.4570563099801455,0.5986584841970366,,COMPLETE
2,0.09770114942528736,2026-09-19 02:52:21.689866,2026-09-19 02:52:21.804723,0 days 00:00:00.114857,0.0006026889128682511,0.15599452033620265,,COMPLETE
3,0.09770114942528736,2026-09-19 02:52:21.804723,2026-09-19 02:52:21.854583,0 days 00:00:00.049860,0.00019517224641449495,0.8661761457749352,,COMPLETE
4,0.26171450161844695,2026-09-19 02:52:21.854583,2026-09-19 02:52:25.197465,0 days 00:00:03.342882,0.10129197956845731,0.7080725777960455,,COMPLETE
5,0.09770114942528736,2026-09-19 02:52:25.197465,2026-09-19 02:52:25.206471,0 days 00:00:00.009006,0.00012674255898937226,0.9699098521619943,,PRUNED
6,0.26479441201107184,2026-09-19 02:52:25.206471,2026-09-19 02:52:43.373223,0 days 00:00:18.166752,1.452824663751602,0.21233911067827616,,COMPLETE
7,0.09770114942528736,2026-09-19 02:52:43.373223,2026-09-19 02:52:43.395811,0 days 00:00:00.022588,0.0008111941985431928,0.18340450985343382,,PRUNED
8,0.09770114942528736,2026-09-19 02:52:43.396810,2026-09-19 02:52:43.426817,0 days 00:00:00.030007,0.0033205591037519565,0.5247564316322378,,PRUNED
9,0.24952204699067743,2026-09-19 02:52:43.426817,2026-09-19 02:52:44.277075,0 days 00:00:00.850258,0.01444525102276306,0.2912291401980419,,COMPLETE
10,0.2672361094541721,2026-09-19 02:52:44.277075,2026-09-19 02:52:52.725492,0 days 00:00:08.448417,0.2960820330236865,0.9855794268481846,"{""C"": 0.2960820330236865, ""l1_ratio"": 0.9855794268481846}",COMPLETE
