number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_tpe:relative_params:0,state
0,0.11873550560496533,2026-09-19 02:48:47.931816,2026-09-19 02:48:48.229081,0 days 00:00:00.297265,0.0074593432857265485,0.9507143064099162,,COMPLETE
1,0.22783066878232883,2026-09-19 02:48:48.229081,2026-09-19 02:48:58.724910,0 days 00:00:10.495829,0.4570563099801455,0.5986584841970366,,COMPLETE
2,0.09770114942528736,2026-09-19 02:48:58.724910,2026-09-19 02:48:58.836284,0 days 00:00:00.111374,0.0006026889128682511,0.15599452033620265,,COMPLETE
3,0.09770114942528736,2026-09-19 02:48:58.836284,2026-09-19 02:48:58.873878,0 days 00:00:00.037594,0.00019517224641449495,0.8661761457749352,,COMPLETE
4,0.23384468776882472,2026-09-19 02:48:58.873878,2026-09-19 02:49:00.865768,0 days 00:00:01.991890,0.10129197956845731,0.7080725777960455,,COMPLETE
5,0.09770114942528736,2026-09-19 02:49:00.865768,2026-09-19 02:49:00.882768,0 days 00:00:00.017000,0.00012674255898937226,0.9699098521619943,,PRUNED
6,0.22191554941443795,2026-09-19 02:49:00.882768,2026-09-19 02:49:19.246789,0 days 00:00:18.364021,1.452824663751602,0.21233911067827616,,COMPLETE
7,0.09770114942528736,2026-09-19 02:49:19.246789,2026-09-19 02:49:19.268800,0 days 00:00:00.022011,0.0008111941985431928,0.18340450985343382,,PRUNED
8,0.09770114942528736,2026-09-19 02:49:19.268800,2026-09-19 02:49:19.295839,0 days 00:00:00.027039,0.0033205591037519565,0.5247564316322378,,PRUNED
9,0.2319219502066126,2026-09-19 02:49:19.295839,2026-09-19 02:49:20.064467,0 days 00:00:00.768628,0.01444525102276306,0.2912291401980419,,COMPLETE
10,0.2306587087310245,2026-09-19 02:49:20.064467,2026-09-19 02:49:24.273496,0 days 00:00:04.209029,0.23390992736049282,0.9873443605421767,"{""C"": 0.23390992736049282, ""l1_ratio"": 0.9873443605421767}",COMPLETE
11,0.23506717877480116,2026-09-19 02:49:24.273496,2026-09-19 02:49:25.580594,0 days 00:00:01.307098,0.04617968170545923,0.5389719429733358,"{""C"": 0.04617968170545923, ""l1_ratio"": 0.5389719429733358}",COMPLETE
12,0.23489632099318197,2026-09-19 02:49:25.580594,2026-09-19 02:49:26.985747,0 days 00:00:01.405153,0.06413246341258172,0.6518159823885992,"{""C"": 0.06413246341258172, ""l1_ratio"": 0.6518159823885992}",COMPLETE
13,0.21975819950309877,2026-09-19 02:49:26.985747,2026-09-19 02:50:03.082379,0 days 00:00:36.096632,4.363519362403094,0.8162703654609698,"{""C"": 4.363519362403094, ""l1_ratio"": 0.8162703654609698}",COMPLETE
14,0.23496673816346608,2026-09-19 02:50:03.082379,2026-09-19 02:50:04.767692,0 days 00:00:01.685313,0.05449280398972806,0.4024251129518318,"{""C"": 0.05449280398972806, ""l1_ratio"": 0.4024251129518318}",COMPLETE
15,0.22661974514765343,2026-09-19 02:50:04.767692,2026-09-19 02:50:13.671259,0 days 00:00:08.903567,0.3403552933776348,0.42788270407025797,"{""C"": 0.3403552933776348, ""l1_ratio"": 0.42788270407025797}",COMPLETE
16,0.21944480463613653,2026-09-19 02:50:13.671259,2026-09-19 02:50:45.381444,0 days 00:00:31.710185,4.045156093199802,0.41513433462240656,"{""C"": 4.045156093199802, ""l1_ratio"": 0.41513433462240656}",COMPLETE
17,0.24121543240585303,2026-09-19 02:50:45.381444,2026-09-19 02:50:46.037406,0 days 00:00:00.655962,0.05836552232601993,0.03106806070876189,"{""C"": 0.05836552232601993, ""l1_ratio"": 0.03106806070876189}",PRUNED
18,0.2358509240175989,2026-09-19 02:50:46.037406,2026-09-19 02:50:47.617813,0 days 00:00:01.580407,0.05175610524043693,0.42351131667211955,"{""C"": 0.05175610524043693, ""l1_ratio"": 0.42351131667211955}",COMPLETE
19,0.23835253527256056,2026-09-19 02:50:47.617813,2026-09-19 02:50:48.797128,0 days 00:00:01.179315,0.010209282912782676,0.05561481834941656,"{""C"": 0.010209282912782676, ""l1_ratio"": 0.05561481834941656}",COMPLETE
20,0.22496057705612804,2026-09-19 02:50:48.797128,2026-09-19 02:50:57.827549,0 days 00:00:09.030421,0.43596147994728973,0.06545630604696473,"{""C"": 0.43596147994728973, ""l1_ratio"": 0.06545630604696473}",COMPLETE
21,0.2396789135741226,2026-09-19 02:50:57.827549,2026-09-19 02:50:58.005216,0 days 00:00:00.177667,0.0044839461232164726,0.034526843050258715,"{""C"": 0.0044839461232164726, ""l1_ratio"": 0.034526843050258715}",PRUNED
22,0.09770114942528736,2026-09-19 02:50:58.005216,2026-09-19 02:50:58.030758,0 days 00:00:00.025542,0.0020536638399717873,0.7017164172552613,"{""C"": 0.0020536638399717873, ""l1_ratio"": 0.7017164172552613}",PRUNED
23,0.09770114942528736,2026-09-19 02:50:58.030758,2026-09-19 02:50:58.049955,0 days 00:00:00.019197,0.0005036490602633231,0.5515645058839325,"{""C"": 0.0005036490602633231, ""l1_ratio"": 0.5515645058839325}",PRUNED
24,0.09770114942528736,2026-09-19 02:50:58.049955,2026-09-19 02:50:58.077489,0 days 00:00:00.027534,0.0015997042090749559,0.3032237092630954,"{""C"": 0.0015997042090749559, ""l1_ratio"": 0.3032237092630954}",PRUNED
25,0.22491348249163423,2026-09-19 02:50:58.077489,2026-09-19 02:50:58.174921,0 days 00:00:00.097432,0.010939758851601453,0.6280476302718419,"{""C"": 0.010939758851601453, ""l1_ratio"": 0.6280476302718419}",PRUNED
26,0.2371537063802575,2026-09-19 02:50:58.174921,2026-09-19 02:50:59.376958,0 days 00:00:01.202037,0.01730823607515423,0.11343000345085855,"{""C"": 0.01730823607515423, ""l1_ratio"": 0.11343000345085855}",COMPLETE
27,0.2361081584638912,2026-09-19 02:50:59.376958,2026-09-19 02:51:00.877852,0 days 00:00:01.500894,0.025334682038874335,0.139823860822254,"{""C"": 0.025334682038874335, ""l1_ratio"": 0.139823860822254}",COMPLETE
28,0.2346150807992971,2026-09-19 02:51:00.877852,2026-09-19 02:51:02.600338,0 days 00:00:01.722486,0.020671731289021847,0.058386019285470034,"{""C"": 0.020671731289021847, ""l1_ratio"": 0.058386019285470034}",COMPLETE
29,0.22917968999820473,2026-09-19 02:51:02.600338,2026-09-19 02:51:07.437991,0 days 00:00:04.837653,0.12612082754875603,0.19254844372275695,"{""C"": 0.12612082754875603, ""l1_ratio"": 0.19254844372275695}",COMPLETE
30,0.2322345969573938,2026-09-19 02:51:07.437991,2026-09-19 02:51:07.547720,0 days 00:00:00.109729,0.006470459546461276,0.14196923994900082,"{""C"": 0.006470459546461276, ""l1_ratio"": 0.14196923994900082}",PRUNED
31,0.22703513699045963,2026-09-19 02:51:07.547720,2026-09-19 02:51:07.633779,0 days 00:00:00.086059,0.00209336003157919,0.10147167410670699,"{""C"": 0.00209336003157919, ""l1_ratio"": 0.10147167410670699}",PRUNED
32,0.23720742039217746,2026-09-19 02:51:07.633779,2026-09-19 02:51:08.895882,0 days 00:00:01.262103,0.020426917236859736,0.13366918047105936,"{""C"": 0.020426917236859736, ""l1_ratio"": 0.13366918047105936}",COMPLETE
33,0.24189076703386247,2026-09-19 02:51:08.895882,2026-09-19 02:51:09.849676,0 days 00:00:00.953794,0.14898027853471268,0.0860219270567259,"{""C"": 0.14898027853471268, ""l1_ratio"": 0.0860219270567259}",PRUNED
34,0.23678385354600057,2026-09-19 02:51:09.849676,2026-09-19 02:51:10.981981,0 days 00:00:01.132305,0.024005414701863077,0.22314493971814037,"{""C"": 0.024005414701863077, ""l1_ratio"": 0.22314493971814037}",COMPLETE
35,0.23519298026769148,2026-09-19 02:51:10.981981,2026-09-19 02:51:12.193247,0 days 00:00:01.211266,0.027851489300239392,0.3000687464188117,"{""C"": 0.027851489300239392, ""l1_ratio"": 0.3000687464188117}",COMPLETE
36,0.2409705732780296,2026-09-19 02:51:12.193247,2026-09-19 02:51:12.321756,0 days 00:00:00.128509,0.0009542121513663618,0.003497301764833871,"{""C"": 0.0009542121513663618, ""l1_ratio"": 0.003497301764833871}",PRUNED
37,0.2400357890099957,2026-09-19 02:51:12.321756,2026-09-19 02:51:13.123048,0 days 00:00:00.801292,0.10461632167095347,0.2801269269867388,"{""C"": 0.10461632167095347, ""l1_ratio"": 0.2801269269867388}",PRUNED
