number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.19225407995600938,2026-09-19 04:35:59.696482,2026-09-19 04:36:03.613143,0 days 00:00:03.916661,0.5780093202212182,0.2536999076681772,10,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,COMPLETE
1,0.20748352665906725,2026-09-19 04:36:03.613143,2026-09-19 04:36:13.229237,0 days 00:00:09.616094,0.9849549260809971,0.07725378389307355,10,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,COMPLETE
2,0.22209149388295457,2026-09-19 04:36:13.229237,2026-09-19 04:36:19.371452,0 days 00:00:06.142215,0.7159725093210578,0.018659959624904916,6,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,COMPLETE
3,0.21811473838772474,2026-09-19 04:36:19.371452,2026-09-19 04:36:25.569526,0 days 00:00:06.198074,0.8925879806965068,0.027010527749605478,6,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,COMPLETE
4,0.21750899571127932,2026-09-19 04:36:25.569526,2026-09-19 04:36:39.265498,0 days 00:00:13.695972,0.5325257964926398,0.011711509955524094,9,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,COMPLETE
5,0.21975465854214932,2026-09-19 04:36:39.265498,2026-09-19 04:36:44.276300,0 days 00:00:05.010802,0.7200762468698007,0.028180680291847244,3,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,COMPLETE
6,0.18457887445331528,2026-09-19 04:36:44.276300,2026-09-19 04:36:44.689638,0 days 00:00:00.413338,0.6558555380447055,0.22038218939289875,5,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,PRUNED
7,0.19854119652604846,2026-09-19 04:36:44.689638,2026-09-19 04:36:45.337421,0 days 00:00:00.647783,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,PRUNED
8,0.2449030621178066,2026-09-19 04:36:45.337421,2026-09-19 04:36:46.830682,0 days 00:00:01.493261,0.6943386448447411,0.01947558230629543,3,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,COMPLETE
9,0.20532757431479057,2026-09-19 04:36:46.830682,2026-09-19 04:36:49.455597,0 days 00:00:02.624915,0.9010984903770198,0.026000059117302653,8,557,0.3727532183988541,4.9344346830025865,0.6563696899899051,,PRUNED
10,0.2196080488059601,2026-09-19 04:36:49.455597,2026-09-19 04:36:52.569174,0 days 00:00:03.113577,0.7146334367602184,0.05304539620046197,3,664,3.787268579910349,1.7187343523663845,0.6160894317513417,"{""colsample_bytree"": 0.7146334367602184, ""learning_rate"": 0.05304539620046197, ""max_depth"": 3, ""n_estimators"": 664, ""reg_alpha"": 3.787268579910349, ""reg_lambda"": 1.7187343523663845, ""subsample"": 0.6160894317513417}",COMPLETE
11,0.2015485058525258,2026-09-19 04:36:52.569174,2026-09-19 04:36:54.376668,0 days 00:00:01.807494,0.7033845638485798,0.02717610751841285,7,472,1.8878968880944633,4.609505292010988,0.7005372978290981,"{""colsample_bytree"": 0.7033845638485798, ""learning_rate"": 0.02717610751841285, ""max_depth"": 7, ""n_estimators"": 472, ""reg_alpha"": 1.8878968880944633, ""reg_lambda"": 4.609505292010988, ""subsample"": 0.7005372978290981}",PRUNED
12,0.23703515044182807,2026-09-19 04:36:54.377668,2026-09-19 04:36:57.177149,0 days 00:00:02.799481,0.6758580632546128,0.021094418668414806,3,565,2.7850472913606197,3.035464576639388,0.7835277754542175,"{""colsample_bytree"": 0.6758580632546128, ""learning_rate"": 0.021094418668414806, ""max_depth"": 3, ""n_estimators"": 565, ""reg_alpha"": 2.7850472913606197, ""reg_lambda"": 3.035464576639388, ""subsample"": 0.7835277754542175}",COMPLETE
13,0.24488285263478712,2026-09-19 04:36:57.177149,2026-09-19 04:36:59.063457,0 days 00:00:01.886308,0.6219776027909886,0.01898142141504461,3,388,2.4305294045097035,3.961546268520223,0.7394965644285741,"{""colsample_bytree"": 0.6219776027909886, ""learning_rate"": 0.01898142141504461, ""max_depth"": 3, ""n_estimators"": 388, ""reg_alpha"": 2.4305294045097035, ""reg_lambda"": 3.961546268520223, ""subsample"": 0.7394965644285741}",COMPLETE
14,0.24261346984499887,2026-09-19 04:36:59.063457,2026-09-19 04:37:00.633535,0 days 00:00:01.570078,0.6882359041151164,0.013297632449769198,3,294,1.3599495706672913,4.072821271937603,0.6640610056965446,"{""colsample_bytree"": 0.6882359041151164, ""learning_rate"": 0.013297632449769198, ""max_depth"": 3, ""n_estimators"": 294, ""reg_alpha"": 1.3599495706672913, ""reg_lambda"": 4.072821271937603, ""subsample"": 0.6640610056965446}",COMPLETE
15,0.24209356653156933,2026-09-19 04:37:00.633535,2026-09-19 04:37:03.572360,0 days 00:00:02.938825,0.7744602299748806,0.016119255852619103,3,549,2.4755384096122537,4.984873188687461,0.7129969095810971,"{""colsample_bytree"": 0.7744602299748806, ""learning_rate"": 0.016119255852619103, ""max_depth"": 3, ""n_estimators"": 549, ""reg_alpha"": 2.4755384096122537, ""reg_lambda"": 4.984873188687461, ""subsample"": 0.7129969095810971}",COMPLETE
16,0.23955566151504123,2026-09-19 04:37:03.572360,2026-09-19 04:37:05.483085,0 days 00:00:01.910725,0.8782206963223043,0.022412314278256497,3,375,1.5695497610689195,3.852797344822234,0.8169162866649753,"{""colsample_bytree"": 0.8782206963223043, ""learning_rate"": 0.022412314278256497, ""max_depth"": 3, ""n_estimators"": 375, ""reg_alpha"": 1.5695497610689195, ""reg_lambda"": 3.852797344822234, ""subsample"": 0.8169162866649753}",COMPLETE
