number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.20736316594765164,2026-09-19 23:32:02.775642,2026-09-19 23:32:05.525733,0 days 00:00:02.750091,0.7299931514829414,0.05601921547625205,1,775,4.291123766203381,2.028255704694497,0.6182532860070354,"{'n_estimators': 775, 'learning_rate': 0.05601921547625205, 'max_depth': 1, 'subsample': 0.6182532860070354, 'colsample_bytree': 0.7299931514829414, 'reg_alpha': 4.291123766203381, 'reg_lambda': 2.028255704694497}",,COMPLETE
1,0.22303331851098362,2026-09-19 23:32:05.525733,2026-09-19 23:32:11.479840,0 days 00:00:05.954107,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.23191938646379,2026-09-19 23:32:11.479840,2026-09-19 23:32:27.172389,0 days 00:00:15.692549,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.22076745575217757,2026-09-19 23:32:27.172389,2026-09-19 23:32:30.823529,0 days 00:00:03.651140,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.22642993698945127,2026-09-19 23:32:30.823529,2026-09-19 23:32:36.831591,0 days 00:00:06.008062,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.24225622638681132,2026-09-19 23:32:36.831591,2026-09-19 23:33:00.976435,0 days 00:00:24.144844,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,COMPLETE
6,0.19116280828368795,2026-09-19 23:33:00.976435,2026-09-19 23:33:01.907793,0 days 00:00:00.931358,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,PRUNED
7,0.18784106312424576,2026-09-19 23:33:01.907793,2026-09-19 23:33:02.359853,0 days 00:00:00.452060,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.2368434118326448,2026-09-19 23:33:02.359853,2026-09-19 23:33:07.985172,0 days 00:00:05.625319,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,COMPLETE
9,0.18069701030001883,2026-09-19 23:33:07.985172,2026-09-19 23:33:08.201511,0 days 00:00:00.216339,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,PRUNED
10,0.20911811192862073,2026-09-19 23:33:08.201511,2026-09-19 23:33:14.927142,0 days 00:00:06.725631,0.5528119174156088,0.022904893512582965,11,1125,2.8763402513711576,2.148104177731638,0.6911932691408326,,"{""colsample_bytree"": 0.5528119174156088, ""learning_rate"": 0.022904893512582965, ""max_depth"": 11, ""n_estimators"": 1125, ""reg_alpha"": 2.8763402513711576, ""reg_lambda"": 2.148104177731638, ""subsample"": 0.6911932691408326}",PRUNED
