number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.18384338729089167,2026-09-19 23:54:25.061099,2026-09-19 23:54:28.563390,0 days 00:00:03.502291,0.5390090454315083,0.023902178662731973,1,997,0.9202492176282521,2.942080144851797,0.7932307973020875,"{'n_estimators': 997, 'learning_rate': 0.023902178662731973, 'max_depth': 1, 'subsample': 0.7932307973020875, 'colsample_bytree': 0.5390090454315083, 'reg_alpha': 0.9202492176282521, 'reg_lambda': 2.942080144851797}",,COMPLETE
1,0.20527240765488095,2026-09-19 23:54:28.563390,2026-09-19 23:54:36.024975,0 days 00:00:07.461585,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.2249012287987157,2026-09-19 23:54:36.024975,2026-09-19 23:54:54.940517,0 days 00:00:18.915542,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.20722264071678415,2026-09-19 23:54:54.940517,2026-09-19 23:54:59.428766,0 days 00:00:04.488249,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.21143870398417824,2026-09-19 23:54:59.428766,2026-09-19 23:55:06.360350,0 days 00:00:06.931584,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.2246066748712207,2026-09-19 23:55:06.360350,2026-09-19 23:55:33.305552,0 days 00:00:26.945202,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,COMPLETE
6,0.20013778364375412,2026-09-19 23:55:33.305552,2026-09-19 23:55:38.575082,0 days 00:00:05.269530,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,PRUNED
7,0.17084969356238144,2026-09-19 23:55:38.575082,2026-09-19 23:55:39.072639,0 days 00:00:00.497557,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.16960416600223605,2026-09-19 23:55:39.072639,2026-09-19 23:55:40.346886,0 days 00:00:01.274247,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,PRUNED
9,0.1670788035975146,2026-09-19 23:55:40.346886,2026-09-19 23:55:40.589249,0 days 00:00:00.242363,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,PRUNED
10,0.17902525775907296,2026-09-19 23:55:40.589249,2026-09-19 23:55:43.012907,0 days 00:00:02.423658,0.9609972575302882,0.15245367148015904,9,1087,4.873854971006914,2.4057825076225834,0.7978250331314947,,"{""colsample_bytree"": 0.9609972575302882, ""learning_rate"": 0.15245367148015904, ""max_depth"": 9, ""n_estimators"": 1087, ""reg_alpha"": 4.873854971006914, ""reg_lambda"": 2.4057825076225834, ""subsample"": 0.7978250331314947}",PRUNED
11,0.1840803406299009,2026-09-19 23:55:43.012907,2026-09-19 23:55:49.887091,0 days 00:00:06.874184,0.9886300947019407,0.0325108305146517,9,1017,4.1446682051786485,2.8563946030888117,0.6134700550461601,,"{""colsample_bytree"": 0.9886300947019407, ""learning_rate"": 0.0325108305146517, ""max_depth"": 9, ""n_estimators"": 1017, ""reg_alpha"": 4.1446682051786485, ""reg_lambda"": 2.8563946030888117, ""subsample"": 0.6134700550461601}",PRUNED
12,0.17765218720585044,2026-09-19 23:55:49.887091,2026-09-19 23:55:52.383905,0 days 00:00:02.496814,0.7852739324408416,0.15937153885689037,8,1095,3.591901910708762,2.7661563764745725,0.6124272242835047,,"{""colsample_bytree"": 0.7852739324408416, ""learning_rate"": 0.15937153885689037, ""max_depth"": 8, ""n_estimators"": 1095, ""reg_alpha"": 3.591901910708762, ""reg_lambda"": 2.7661563764745725, ""subsample"": 0.6124272242835047}",PRUNED
