technique,model,level,band,n
level_weight,xgboost,moderato,2,69
level_weight,xgboost,moderato,3,11
level_weight,xgboost,moderato,4,4
level_weight,xgboost,alto,1,32
level_weight,xgboost,alto,2,10
level_weight,xgboost,alto,3,5
level_weight,xgboost,alto,4,3
level_weight,xgboost,molto alto,1,6
level_weight,xgboost,molto alto,2,6
level_weight,xgboost,molto alto,3,4
level_weight,xgboost,molto alto,4,5
undersampling,lr_scored,basso,1,3620
undersampling,lr_scored,basso,2,261
undersampling,lr_scored,basso,3,35
undersampling,lr_scored,basso,4,9
undersampling,lr_scored,moderato,1,263
undersampling,lr_scored,moderato,2,77
undersampling,lr_scored,moderato,3,9
undersampling,lr_scored,moderato,4,5
undersampling,lr_scored,alto,1,32
undersampling,lr_scored,alto,2,11
undersampling,lr_scored,alto,3,5
undersampling,lr_scored,alto,4,2
undersampling,lr_scored,molto alto,1,10
undersampling,lr_scored,molto alto,2,5
undersampling,lr_scored,molto alto,3,1
undersampling,lr_scored,molto alto,4,5
undersampling,lr_penalized,basso,1,3622
undersampling,lr_penalized,basso,2,260
undersampling,lr_penalized,basso,3,31
undersampling,lr_penalized,basso,4,12
undersampling,lr_penalized,moderato,1,258
undersampling,lr_penalized,moderato,2,76
undersampling,lr_penalized,moderato,3,14
undersampling,lr_penalized,moderato,4,6
undersampling,lr_penalized,alto,1,33
undersampling,lr_penalized,alto,2,10
undersampling,lr_penalized,alto,3,4
undersampling,lr_penalized,alto,4,3
undersampling,lr_penalized,molto alto,1,12
undersampling,lr_penalized,molto alto,2,8
undersampling,lr_penalized,molto alto,3,1
undersampling,lr_penalized,molto alto,4,0
undersampling,random_forest,basso,1,3618
undersampling,random_forest,basso,2,261
undersampling,random_forest,basso,3,33
undersampling,random_forest,basso,4,13
undersampling,random_forest,moderato,1,263
undersampling,random_forest,moderato,2,75
undersampling,random_forest,moderato,3,12
undersampling,random_forest,moderato,4,4
undersampling,random_forest,alto,1,34
undersampling,random_forest,alto,2,10
undersampling,random_forest,alto,3,3
undersampling,random_forest,alto,4,3
undersampling,random_forest,molto alto,1,10
undersampling,random_forest,molto alto,2,8
undersampling,random_forest,molto alto,3,2
undersampling,random_forest,molto alto,4,1
undersampling,xgboost,basso,1,3609
undersampling,xgboost,basso,2,267
undersampling,xgboost,basso,3,36
undersampling,xgboost,basso,4,13
undersampling,xgboost,moderato,1,274
undersampling,xgboost,moderato,2,65
undersampling,xgboost,moderato,3,7
undersampling,xgboost,moderato,4,8
undersampling,xgboost,alto,1,32
undersampling,xgboost,alto,2,14
undersampling,xgboost,alto,3,4
undersampling,xgboost,alto,4,0
undersampling,xgboost,molto alto,1,10
undersampling,xgboost,molto alto,2,8
undersampling,xgboost,molto alto,3,3
undersampling,xgboost,molto alto,4,0
oversampling,lr_scored,basso,1,3616
oversampling,lr_scored,basso,2,268
oversampling,lr_scored,basso,3,30
oversampling,lr_scored,basso,4,11
oversampling,lr_scored,moderato,1,265
oversampling,lr_scored,moderato,2,73
oversampling,lr_scored,moderato,3,12
oversampling,lr_scored,moderato,4,4
oversampling,lr_scored,alto,1,33
oversampling,lr_scored,alto,2,10
oversampling,lr_scored,alto,3,5
oversampling,lr_scored,alto,4,2
oversampling,lr_scored,molto alto,1,11
oversampling,lr_scored,molto alto,2,3
oversampling,lr_scored,molto alto,3,3
oversampling,lr_scored,molto alto,4,4
oversampling,lr_penalized,basso,1,3616
oversampling,lr_penalized,basso,2,271
oversampling,lr_penalized,basso,3,26
oversampling,lr_penalized,basso,4,12
oversampling,lr_penalized,moderato,1,265
oversampling,lr_penalized,moderato,2,67
oversampling,lr_penalized,moderato,3,17
oversampling,lr_penalized,moderato,4,5
oversampling,lr_penalized,alto,1,34
oversampling,lr_penalized,alto,2,8
oversampling,lr_penalized,alto,3,5
oversampling,lr_penalized,alto,4,3
oversampling,lr_penalized,molto alto,1,10
oversampling,lr_penalized,molto alto,2,8
