technique,model,probabilities,intercept,slope,brier,mean_probability,prevalence
none,dummy,grezza,7.530407366500059e-16,,0.08815563482626504,0.0977011494252873,0.09770114942528736
none,dummy,ricalibrata,7.530407366500059e-16,,0.08815563482626504,0.0977011494252873,0.09770114942528736
none,lr_scored,grezza,0.0007263571136796705,0.9695777036885732,0.08329540413956829,0.09764074818102411,0.09770114942528736
none,lr_scored,ricalibrata,0.0015845479346036052,1.0101316806782037,0.08334830786008665,0.09756867936786653,0.09770114942528736
none,lr_penalized,grezza,-0.006445602225595233,0.9354939180567492,0.08251517609877423,0.09822617662053644,0.09770114942528736
none,lr_penalized,ricalibrata,0.00022473567833430948,0.9820323493227152,0.08222400451436594,0.09768275181001475,0.09770114942528736
none,random_forest,grezza,-0.0033980078319184605,1.3052795264267938,0.0825986748557044,0.09799027431864707,0.09770114942528736
none,random_forest,ricalibrata,-0.0018620968629246809,0.9709928809773077,0.08216358896957976,0.0978542394703911,0.09770114942528736
none,xgboost,grezza,0.01152216285821181,0.8618740145239493,0.08208738735016485,0.0967800549273218,0.09770114942528736
none,xgboost,ricalibrata,-0.00045630206693721945,0.9860579708860471,0.0820801253541075,0.09773874922059543,0.09770114942528736
class_weight,dummy,grezza,-2.223032461292056,,0.24999999999999248,0.4999999999999907,0.09770114942528736
class_weight,dummy,ricalibrata,7.530407366500059e-16,,0.08815563482626504,0.0977011494252873,0.09770114942528736
class_weight,lr_scored,grezza,-2.2168724126918153,0.9991559576737524,0.21954939489810266,0.4572566008485911,0.09770114942528736
class_weight,lr_scored,ricalibrata,0.001185588755225239,1.0142121322664717,0.0834006624487956,0.09760193751146329,0.09770114942528736
class_weight,lr_penalized,grezza,-2.189078168304314,0.9604588725256813,0.20834662947498775,0.44174972725149936,0.09770114942528736
class_weight,lr_penalized,ricalibrata,-0.0008831993243477891,1.0031694735689358,0.0825380914462202,0.09777399409810048,0.09770114942528736
class_weight,random_forest,grezza,-1.799050883369466,1.2398435654499593,0.16423511777736408,0.3722470351155145,0.09770114942528736
