technique,model,auc,auc_low,auc_high,pr_auc,pr_auc_low,pr_auc_high,prevalence,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high,auc_folds_mean,pr_auc_folds_mean
none,dummy,0.5,0.5,0.5,0.09770114942528736,0.07288209060905701,0.1297888359353495,0.09770114942528736,,,,,,,,,,,,,,0.5,0.09770114942528736
none,lr_scored,0.6750642188085425,0.646170710032695,0.70395772758439,0.2238032821008589,0.18667777509692532,0.2658982961157749,0.09770114942528736,0.0502852648657892,0.10983653570404359,0.0998843165054395,0.12064745725227463,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.209171974522293,0.19673545442154308,0.22217721387297243,0.8016091954022988,0.789494578608944,0.8131915836728474,0.6792071937055078,0.2427510476502584
none,lr_penalized,0.6968302735106783,0.6686761114544535,0.7249844355669031,0.2421879528042959,0.20381134265066841,0.2852022160700989,0.09770114942528736,0.0479707257418685,0.11162926260565433,0.10152338206472895,0.12260383546484187,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22343949044585987,0.21068192159444774,0.23673787817225975,0.7887356321839081,0.7763529521245593,0.8006088007915457,0.7003641813413264,0.25518083152380494
none,random_forest,0.7032128887223679,0.6756747074761853,0.7307510699685504,0.24603167782196167,0.20740642159494455,0.2892252474220798,0.09770114942528736,0.0581256463703772,0.11277974087161366,0.1025754025361415,0.123859114527407,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23235668789808916,0.2194097290362815,0.24582702790054597,0.7806896551724138,0.7681486922092929,0.7927353048532583,0.7078246534282503,0.26103324620813206
none,xgboost,0.6960155863619334,0.6683298481762259,0.7237013245476409,0.24994657506470913,0.2110724973196131,0.29331835572849313,0.09770114942528736,0.0418949387967586,0.11599030890369473,0.105511848687397,0.12736122414753642,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.25630573248407645,0.2428900552017331,0.27019795813484526,0.759080459770115,0.7461472394452056,0.7715564990392296,0.6976635443986512,0.2593174145876399
class_weight,dummy,0.5,0.5,0.5,0.09770114942528736,0.07288209060905701,0.1297888359353495,0.09770114942528736,,,,,,,,,,,,,,0.5,0.09770114942528736
class_weight,lr_scored,0.6752992131884602,0.6463352644215848,0.7042631619553356,0.2228010780988985,0.18574681355289227,0.26484295053090307,0.09770114942528736,0.3287734956170278,0.10819209039548022,0.09838107945229979,0.11885252644294783,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.1956687898089172,0.18355786074800906,0.20837484383175336,0.8137931034482758,0.8019500276478403,0.8250824506407611,0.6790992881228924,0.24190596873822812
class_weight,lr_penalized,0.698565155488947,0.6710755443821401,0.726054766595754,0.24115710677969734,0.20284792230348794,0.2841225428152652,0.09770114942528736,0.328343922574786,0.11759287688056494,0.10697793989104144,0.1291088090486364,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2677707006369427,0.2541500118141977,0.2818455178839634,0.748735632183908,0.7356305737368639,0.7614017643644305,0.6989674035219183,0.2501282826732896
class_weight,random_forest,0.6917155488947171,0.6638649555667768,0.7195661422226574,0.23213537898991116,0.1944299344616347,0.27465988793846446,0.09770114942528736,0.2517546784675573,0.11192285213325541,0.10179183478473487,0.12292418551986585,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22573248407643312,0.2129254091062114,0.23907589393281267,0.7866666666666666,0.7742426228042895,0.7985848500351874,0.7061491195204197,0.24691153460304757
class_weight,xgboost,0.6927784188834769,0.6654653064048555,0.7200915313620984,0.23053219019980656,0.1929366384702418,0.2729757473008294,0.09770114942528736,0.2517598569393158,0.11331360946745563,0.10306362366769607,0.12444155593046168,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23643312101910827,0.22340234847720114,0.2499793031659669,0.7770114942528735,0.7644004467984109,0.7891337190168013,0.6936830273510679,0.2474994845951199
level_weight,dummy,0.5,0.4746524832876987,0.5253475167123013,0.09770114942528735,0.07288209060905701,0.1297888359353495,0.09770114942528736,,,,,,,,,,,,,,0.5,0.09770114942528736
level_weight,lr_scored,0.6756606968902211,0.6467800285585695,0.7045413652218727,0.2220790119824087,0.18507627697722412,0.26408239689613594,0.09770114942528736,0.3203027335132296,0.1102475532527346,0.10026007839134071,0.12109603226982227,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.212484076433121,0.19997098487509676,0.22555941036832047,0.7986206896551724,0.7864421669294708,0.8102722574638577,0.6791532409142,0.24087312798093247
level_weight,lr_penalized,0.7014384413638067,0.6741000482371626,0.7287768344904508,0.24208691060381493,0.20371689549007002,0.28509640178243867,0.09770114942528736,0.3279329075391393,0.11208662569505413,0.10194158964546897,0.1231028820401877,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2270063694267516,0.21417203412014427,0.24037454851461124,0.7855172413793103,0.7730704174239791,0.7974602331507046,0.7012573997751966,0.25461283365888465
level_weight,random_forest,0.6931872611464966,0.6654247519240186,0.7209497703689747,0.22891349744559328,0.1914297137133147,0.2712745101609136,0.09770114942528736,0.2538833662796655,0.11348148148148147,0.10321714745784508,0.12462469365931386,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23770700636942677,0.22465039025092504,0.2512765409879744,0.7758620689655172,0.7632294065262134,0.7880079370242056,0.7073420756837767,0.25009558670084464
level_weight,xgboost,0.6992737354814537,0.6718209833424315,0.7267264876204759,0.24763497827566386,0.20890728369268313,0.2909020669697246,0.09770114942528736,0.2721520364284515,0.11850247524752475,0.10781018023930738,0.13010056681603926,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.27414012738853505,0.26041068265289385,0.2883112450239244,0.7429885057471264,0.7297922110252452,0.7557560157520818,0.7013952791307606,0.26039502418774635
undersampling,dummy,0.5,0.5,0.5,0.09770114942528736,0.07288209060905701,0.1297888359353495,0.09770114942528736,,,,,,,,,,,,,,0.5,0.09770114942528736
undersampling,lr_scored,0.6748196328212813,0.646059481827167,0.7035797838153957,0.22632484016406196,0.18902151050135357,0.26855213996320365,0.09770114942528736,0.3382482739197792,0.11162926260565433,0.10152338206472895,0.12260383546484187,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22343949044585987,0.21068192159444774,0.23673787817225975,0.7887356321839081,0.7763529521245593,0.8006088007915457,0.6775616335706257,0.24398960321694046
undersampling,lr_penalized,0.6983745222929937,0.6707273860286775,0.7260216585573098,0.22600858139077473,0.18872744335657557,0.2682194004868653,0.09770114942528736,0.3385293858418022,0.11211943793911007,0.101971593518281,0.12313868369502817,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22726114649681528,0.21442137983250795,0.24063425872139385,0.7852873563218391,0.7728359933729817,0.7972352927487433,0.7012184338703633,0.24171872933497623
