technique,model,kappa,low,high,observed_agreement
none,lr_scored,0.19656997648391084,0.15597206557129561,0.23636100806761864,0.8510344827586207
none,lr_penalized,0.2071136775799225,0.17091341815151148,0.24478691220646331,0.8542528735632184
none,random_forest,0.20922241779912487,0.16493887319587586,0.24619426529422853,0.8535632183908046
none,xgboost,0.23452730042955283,0.19161533201409442,0.2752341288226323,0.8560919540229885
class_weight,lr_scored,0.20078745692231548,0.15630212559362705,0.23806329331018986,0.8512643678160919
class_weight,lr_penalized,0.19656997648391084,0.16072139275747122,0.2340208321230296,0.8512643678160919
class_weight,random_forest,0.20289619714151785,0.1626460189100761,0.23821541344197666,0.8540229885057471
class_weight,xgboost,0.2071136775799225,0.1682422730998189,0.24845487898185337,0.8510344827586207
level_weight,lr_scored,0.1986787167031132,0.15650391231906646,0.2366360406487552,0.8517241379310345
level_weight,lr_penalized,0.19446123626470857,0.16037898006346618,0.23359938882137882,0.8510344827586207
level_weight,random_forest,0.19446123626470857,0.15823781671074083,0.23201899623598488,0.8503448275862069
level_weight,xgboost,0.20289619714151785,0.16283013297667348,0.24085352108715985,0.8496551724137931
undersampling,lr_scored,0.20078745692231548,0.15824142119809337,0.24085352108715985,0.852183908045977
undersampling,lr_penalized,0.1839175351686968,0.14806895144225718,0.22163325176743598,0.8510344827586207
undersampling,random_forest,0.17970005473029216,0.14336342531476917,0.2153195052071169,0.8498850574712644
undersampling,xgboost,0.1543951720998642,0.12235025769521657,0.19385909383541167,0.8455172413793104
oversampling,lr_scored,0.1923524960455062,0.14984351375260424,0.2300594141298994,0.8501149425287357
oversampling,lr_penalized,0.17970005473029216,0.14141647231592308,0.21742017058620422,0.8480459770114942
oversampling,random_forest,0.1839175351686968,0.14352284326445908,0.21977689727849847,0.8503448275862069
oversampling,xgboost,0.2071136775799225,0.16616942528184306,0.2450710015255645,0.8524137931034482
smote_nc,lr_scored,0.16072139275747122,0.12051877103090701,0.1961205572441792,0.844367816091954
smote_nc,lr_penalized,0.17126509385348287,0.13880166327608215,0.2089748550447057,0.8480459770114942
smote_nc,random_forest,0.15861265253826884,0.12276061319174573,0.19620095216468653,0.8459770114942529
smote_nc,xgboost,0.18602627538789918,0.14806895144225718,0.22398359933354117,0.8489655172413794
smote_nc_level,lr_scored,0.14806895144225718,0.1120646652594231,0.18602627538789918,0.8425287356321839
smote_nc_level,lr_penalized,0.19024375582630382,0.15631006510094436,0.2303098199911482,0.8514942528735632
smote_nc_level,random_forest,0.15017769166145956,0.11612832795579107,0.18696678565536176,0.8450574712643678
smote_nc_level,xgboost,0.17337383407268514,0.13524089490900815,0.21110631404445582,0.8464367816091954
ctgan,lr_scored,0.08269800464698485,0.05097947705062419,0.11432910793501982,0.8340229885057471
ctgan,lr_penalized,0.08480674486618722,0.04883466276749698,0.11600535401572726,0.8333333333333334
ctgan,random_forest,0.07637178398937783,0.04460133537547825,0.10984030291698377,0.833103448275862
ctgan,xgboost,0.17337383407268514,0.13655175866663147,0.2110814466424561,0.8462068965517241
ctgan_level,lr_scored,0.05950186223575915,0.029979499166926438,0.09077588976911194,0.8308045977011494
ctgan_level,lr_penalized,0.12065532859262684,0.08663596166411491,0.15650391231906646,0.8406896551724138
ctgan_level,random_forest,0.09113296552379413,0.05713788628966199,0.12442463088896878,0.8363218390804598
ctgan_level,xgboost,0.17548257429188752,0.14332307903676855,0.2141642928283138,0.8473563218390805
