technique,model,level,mean_probability,low,high
none,dummy,basso,0.0977011494252873,0.0977011494252873,0.0977011494252873
none,dummy,moderato,0.0977011494252873,0.0977011494252873,0.0977011494252873
none,dummy,alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
none,dummy,molto alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
none,lr_scored,basso,0.09241299012072819,0.0905622752652925,0.09427703760790422
none,lr_scored,moderato,0.13663710505305046,0.12760396195826135,0.14630792278539692
none,lr_scored,alto,0.17338392448008283,0.14133736906188255,0.2074918437862956
none,lr_scored,molto alto,0.2220970292179626,0.15885577653625477,0.2893050799843273
none,lr_penalized,basso,0.09091351307818285,0.0888207326997538,0.09316720799966371
none,lr_penalized,moderato,0.15000250929666836,0.13757546407260415,0.16305362498863996
none,lr_penalized,alto,0.1989642414519792,0.15773474302635118,0.24406152238341608
none,lr_penalized,molto alto,0.23977767514651677,0.18581909369618982,0.2917444605289551
none,random_forest,basso,0.09120309774281589,0.08908151100514608,0.0934436364798183
none,random_forest,moderato,0.1501663791855609,0.13910334711054678,0.16088348491616242
none,random_forest,alto,0.18933936221983522,0.15439343807880665,0.2240961607382705
none,random_forest,molto alto,0.24132936728421914,0.1821931887411754,0.2986088003436859
none,xgboost,basso,0.09117396486976391,0.08922375220829738,0.09331331450460498
none,xgboost,moderato,0.14458157232391503,0.13467655086679434,0.155366796133934
none,xgboost,alto,0.20127602628814242,0.15991606065688682,0.2444535342416833
none,xgboost,molto alto,0.28857471803303153,0.21240277591089982,0.3621142597261471
class_weight,dummy,basso,0.0977011494252873,0.0977011494252873,0.0977011494252873
class_weight,dummy,moderato,0.0977011494252873,0.0977011494252873,0.0977011494252873
class_weight,dummy,alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
class_weight,dummy,molto alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
class_weight,lr_scored,basso,0.09251173930286477,0.09063428796915565,0.09433941541439235
class_weight,lr_scored,moderato,0.13610464904090688,0.1272488135955809,0.14562920024433387
class_weight,lr_scored,alto,0.1735803688885033,0.1417825311152462,0.2074048382847365
class_weight,lr_scored,molto alto,0.2190374860102322,0.1564293418894468,0.2858067079600856
class_weight,lr_penalized,basso,0.09149720351074028,0.08948785508790338,0.09357307515030366
class_weight,lr_penalized,moderato,0.14673381969316826,0.13486428036833392,0.1592364806630534
class_weight,lr_penalized,alto,0.19335704413109295,0.1560542495092698,0.23418800642387202
class_weight,lr_penalized,molto alto,0.21803457948311197,0.16915422299524613,0.26406392702202713
class_weight,random_forest,basso,0.09229973759526965,0.0902626096091942,0.09436395652716206
class_weight,random_forest,moderato,0.14671125091299428,0.13701815369848297,0.15679383655992912
class_weight,random_forest,alto,0.17872761594136352,0.1477124770293476,0.20970154532865554
class_weight,random_forest,molto alto,0.22050121527213112,0.16936774920686282,0.269176482532005
class_weight,xgboost,basso,0.09428156687065783,0.09236125563177135,0.0962859649475656
class_weight,xgboost,moderato,0.14146667875467567,0.13235879886938767,0.15091594735735325
class_weight,xgboost,alto,0.19124183359430652,0.1567874152081498,0.22667251982954184
class_weight,xgboost,molto alto,0.25429590806711116,0.1889704304169333,0.31668061446865686
level_weight,dummy,basso,0.0977011494252873,0.0977011494252873,0.0977011494252873
level_weight,dummy,moderato,0.0977011494252873,0.0977011494252873,0.0977011494252873
level_weight,dummy,alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
level_weight,dummy,molto alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
level_weight,lr_scored,basso,0.0925228454397012,0.09068486332282504,0.0943671525635078
level_weight,lr_scored,moderato,0.1357063594644257,0.12700641851611133,0.14509081393514742
level_weight,lr_scored,alto,0.1720489746925853,0.14052192318305548,0.2053698042698051
level_weight,lr_scored,molto alto,0.2235841984046234,0.16008251814580923,0.2918805216367396
