group,model,intercept,slope,brier,mean_probability,prevalence,oe_ratio,intercept_low,intercept_high,slope_low,slope_high,brier_low,brier_high,oe_ratio_low,oe_ratio_high,intercept_low_simple,intercept_high_simple,slope_low_simple,slope_high_simple,brier_low_simple,brier_high_simple,oe_ratio_low_simple,oe_ratio_high_simple,n,events
diabetici,lr_scored,0.0008425787172635953,0.8161647561711362,0.1853109153962796,0.258401801386496,0.2585551330798479,1.0005933847694914,-0.06340729994980408,0.06288148448958977,0.3428455819151887,1.3538363296414206,0.17551210419036606,0.19463365559410442,0.9569547157492213,1.0453861954643293,-0.3022791219230577,0.2839546012838337,0.29505266513810724,1.3879030216746395,0.15897071080661654,0.2117280101725778,0.8004333530258934,1.2131764641577667,263,68
non diabetici,lr_scored,0.0007086371314604339,0.9682513719908861,0.07673066730068524,0.08729571343841606,0.08735013457303646,1.0006234113048265,-0.02053544842445408,0.022399576900906486,0.7853744375422279,1.157485495828247,0.07537120854697163,0.07797336579442768,0.9821244242299914,1.0199406925209757,-0.11801919695118736,0.10491216239165091,0.7822662371949374,1.1525551719700302,0.0699413654827717,0.08349443115234689,0.9008163068818864,1.0958497888451062,4087,357
tutti,lr_scored,0.0007263571136796705,0.9695777036885732,0.08329540413956829,0.09764074818102411,0.09770114942528736,1.0006186069380711,-0.02294882698649918,0.02549135187053862,0.8358651855306581,1.1099967958752734,0.08163902718251263,0.08484968589384147,0.9807544353329943,1.0219840746746585,-0.1070347288142784,0.10092251184895043,0.8229475031326512,1.108799084173333,0.07675540810249604,0.09008994492098427,0.912270030456545,1.0890654173024914,4350,425
diabetici,lr_penalized,0.17841212488240143,0.6856028990701023,0.18224574321639253,0.23000983014040755,0.2585551330798479,1.124104708577086,0.06610491995360311,0.2924705151398972,0.38933261679114506,1.0675466829330553,0.16714940426543057,0.1981968941025164,1.0431329881582352,1.2190691032222671,-0.15037881490860258,0.48410065746127673,0.38101483499562877,1.0875181475959121,0.1528955556742676,0.21327806162251903,0.9021312163476168,1.3658304551877507,263,68
non diabetici,lr_penalized,-0.03148196861065513,0.9191905450819952,0.07609747628180981,0.08974584853741284,0.08735013457303646,0.973305573422957,-0.06105099452998325,-0.00520281711137972,0.7651548140275295,1.0815571819915653,0.0743541312155222,0.07775147174452375,0.9491916638709076,0.9954933093728559,-0.15201100051458377,0.07634155805182133,0.7577566600764316,1.0861410161446579,0.06945374613130541,0.0828060755910611,0.8764065333513278,1.0676837915663098,4087,357
tutti,lr_penalized,-0.006445602225595233,0.9354939180567492,0.08251517609877423,0.09822617662053644,0.09770114942528736,0.994654915692409,-0.0357085204140011,0.0226114711825087,0.8050108518261837,1.0735307842748936,0.0804688734632578,0.08453816312369275,0.9708950143553468,1.0191571219678042,-0.11564666180280399,0.09603223745035565,0.8005709719119511,1.0694716252973542,0.07604849881204787,0.0893251633186148,0.9081095739443551,1.0831362657673915,4350,425
diabetici,random_forest,0.3074575203726078,1.7847503886251255,0.17892665169017474,0.20595536486552285,0.2585551330798479,1.2553940182557017,0.2521844922048781,0.36409591434217986,1.130119225584586,2.638147037527741,0.1720929300188467,0.1857071627995426,1.2043923207211396,1.3117576276402543,0.018590445446801017,0.5814475646368251,1.0964984264252486,2.64053674850176,0.15010366347545379,0.20905418365483908,1.0143221782990715,1.5146782484257098,263,68
non diabetici,random_forest,-0.04670074742514054,1.2331929101861192,0.07639993301389728,0.09104267979605635,0.08735013457303646,0.9594416022101775,-0.0655009172286512,-0.0288984095268363,1.0117451687327175,1.439656075753682,0.07539632340053154,0.07746433123672011,0.9436728285528829,0.9746609580925966,-0.16272234458073642,0.058822080205212034,1.0208115952660537,1.4505803245749256,0.06952399839849978,0.08303981552466447,0.8648244598958302,1.0533312858258306,4087,357
tutti,random_forest,-0.0033980078319184605,1.3052795264267938,0.0825986748557044,0.09799027431864707,0.09770114942528736,0.9970494531689998,-0.02237275306925581,0.015465977924526742,1.1286453055437988,1.48665543316714,0.0813465090637501,0.0838475951208435,0.9807410643994572,1.0135511093123966,-0.10878683338067732,0.0945278011299513,1.1320319208205096,1.4840077478939948,0.07604268059829358,0.08922002635451667,0.9092549027182729,1.085017505834355,4350,425
diabetici,xgboost,0.18322389551436663,0.6801860201349235,0.18142464377593015,0.229013737723118,0.2585551330798479,1.1289939880918674,0.07986691197329253,0.294330476867684,0.37506234076308603,1.0306891803642668,0.16770232094174067,0.19608855990699872,1.0531983039913655,1.2189868993977109,-0.13578261211820628,0.48868837132026943,0.3724435381112976,1.071938638014465,0.15237302050760593,0.21102799010817863,0.9102298181528383,1.3676240083713214,263,68
non diabetici,xgboost,-0.012370027742791436,0.8277970285080716,0.07569499722538477,0.08827076728961829,0.08735013457303646,0.9895703555678721,-0.04357835356569774,0.017305808594884904,0.692877207795452,0.9653605926607656,0.07387619608011864,0.0774797502977804,0.963909798323805,1.014826465696516,-0.13332249538609056,0.09687024317834778,0.6880707644362394,0.9658019403639243,0.06905563435183723,0.08228088095603227,0.8923671815796154,1.0848471037107035,4087,357
tutti,xgboost,0.01152216285821181,0.8618740145239493,0.08208738735016485,0.0967800549273218,0.09770114942528736,1.0095174000330673,-0.019568770613276953,0.04229260133640185,0.7457041440030414,0.9754827908710019,0.08008841579452362,0.08411363443878846,0.9840904978600806,1.0355520734373225,-0.09930059195755059,0.11299930157695325,0.745516403546518,0.974516106535146,0.07578836432717256,0.08863764603704619,0.9211902261251732,1.096622143426796,4350,425
