group,model,predicted,observed,low,high
diabetici,lr_scored,0.10434449494670799,0.08133886078773077,0.017707188325595948,0.3030812106148898
diabetici,lr_scored,0.10660757680419242,0.08513093395168891,0.019825169828889305,0.29976810754926364
diabetici,lr_scored,0.10887065866167683,0.08900797095842793,0.02213701590340828,0.2966090287598415
diabetici,lr_scored,0.11113374051916126,0.09296920180061942,0.024653449348652236,0.29360479336384165
diabetici,lr_scored,0.11339682237664568,0.09701379944064452,0.02738483727611954,0.29075726130763047
diabetici,lr_scored,0.11565990423413011,0.10114088039861228,0.03034098453620882,0.2880694490789202
diabetici,lr_scored,0.11792298609161453,0.10534950542496029,0.03353088790837447,0.2855456738148388
diabetici,lr_scored,0.12018606794909896,0.10963868025727012,0.03696244499519594,0.2831917310020101
diabetici,lr_scored,0.12244914980658339,0.11400735646064415,0.04064211100689339,0.2810151118840324
diabetici,lr_scored,0.12471223166406781,0.1184544323507164,0.044574495941848126,0.2790252675765141
diabetici,lr_scored,0.12697531352155222,0.12297874815161966,0.04876188884915648,0.27723392910165606
diabetici,lr_scored,0.12923839537903667,0.12757682715847732,0.053201562007852414,0.2756558967476191
diabetici,lr_scored,0.13150147723652109,0.13223934167058934,0.05788138515920606,0.27430890515220807
diabetici,lr_scored,0.1337645590940055,0.13695578274361575,0.06278324621287266,0.27321150105865993
diabetici,lr_scored,0.13602764095148995,0.1417153645115645,0.06788356035034887,0.2723828148238308
diabetici,lr_scored,0.13829072280897436,0.1465070724028765,0.07315317681522507,0.2718425333092955
diabetici,lr_scored,0.14055380466645878,0.15131971390260118,0.07855749292128612,0.271610747947938
diabetici,lr_scored,0.1428168865239432,0.15614197092822998,0.08405682480853406,0.2717076373628703
diabetici,lr_scored,0.14507996838142762,0.16096245293916608,0.08960708293647213,0.2721529417941424
diabetici,lr_scored,0.14734305023891206,0.16576974996079338,0.09516079089168425,0.27296519185165247
diabetici,lr_scored,0.14960613209639648,0.17055248477315632,0.10066846468580139,0.2741606711408275
diabetici,lr_scored,0.15186921395388092,0.17529936359032863,0.10608033285480648,0.27575212487071143
diabetici,lr_scored,0.15413229581136534,0.17999922463818957,0.11134832489791442,0.2777472753921037
diabetici,lr_scored,0.15639537766884976,0.1846410841238186,0.11642819250095525,0.280147265410305
