setting,population,model,target_sensitivity,threshold,screened,detected
tesi,"tutti, bersaglio composito",lr_scored,0.61,0.0908225153711601,0.3682758620689655,0.611764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.62,0.0886476062159573,0.3836781609195402,0.6211764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.63,0.0858296046979704,0.40735632183908044,0.6305882352941177
tesi,"tutti, bersaglio composito",lr_scored,0.64,0.0834453502520663,0.42344827586206896,0.64
tesi,"tutti, bersaglio composito",lr_scored,0.65,0.0821797917429711,0.43264367816091953,0.6517647058823529
tesi,"tutti, bersaglio composito",lr_scored,0.66,0.0811732937122275,0.4420689655172414,0.6611764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.67,0.0801237471446717,0.45126436781609197,0.6705882352941176
tesi,"tutti, bersaglio composito",lr_scored,0.68,0.0794022663405321,0.45770114942528733,0.68
tesi,"tutti, bersaglio composito",lr_scored,0.69,0.0778446962650606,0.47379310344827585,0.691764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.7,0.0763197831378107,0.4857471264367816,0.7011764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.71,0.0745567504140155,0.5020689655172413,0.7105882352941176
tesi,"tutti, bersaglio composito",lr_scored,0.72,0.0732667777756285,0.5154022988505748,0.72
tesi,"tutti, bersaglio composito",lr_scored,0.73,0.0722383405785873,0.5257471264367816,0.731764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.74,0.0716031667960344,0.5349425287356322,0.7411764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.75,0.0678303610735892,0.5758620689655173,0.7505882352941177
tesi,"tutti, bersaglio composito",lr_scored,0.76,0.067065687091338,0.5841379310344827,0.76
tesi,"tutti, bersaglio composito",lr_scored,0.77,0.0665198413066602,0.5917241379310345,0.7717647058823529
tesi,"tutti, bersaglio composito",lr_scored,0.78,0.0655271598845742,0.6029885057471265,0.7811764705882352
tesi,"tutti, bersaglio composito",lr_scored,0.79,0.0624952496170611,0.6370114942528735,0.7905882352941176
tesi,"tutti, bersaglio composito",lr_scored,0.8,0.0618604508619553,0.647816091954023,0.8
tesi,"tutti, bersaglio composito",lr_scored,0.81,0.0605708019663762,0.6641379310344827,0.8117647058823529
tesi,"tutti, bersaglio composito",lr_scored,0.82,0.059133799067298,0.6822988505747126,0.8211764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.83,0.0578090277350107,0.6988505747126437,0.8305882352941176
tesi,"tutti, bersaglio composito",lr_scored,0.84,0.0560392986583157,0.7213793103448276,0.84
tesi,"tutti, bersaglio composito",lr_scored,0.85,0.0549084761541473,0.7379310344827587,0.851764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.86,0.0539333973809937,0.7514942528735632,0.8611764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.87,0.0530848131054785,0.7625287356321839,0.8705882352941177
tesi,"tutti, bersaglio composito",lr_scored,0.88,0.0517305211767022,0.7829885057471264,0.88
