group,model,threshold,n,positives,prevalence,tp,fp,fn,tn,tests,net_benefit,net_benefit_all,net_benefit_none,avoided_per_100,beats_both
tutti,dummy,0.04,4350,425,0.09770114942528736,425,3925,0,0,4350,0.06010536398467433,0.06010536398467433,0.0,0.0,False
tutti,dummy,0.045,4350,425,0.09770114942528736,425,3925,0,0,4350,0.05518444965998677,0.05518444965998677,0.0,0.0,False
tutti,dummy,0.05,4350,425,0.09770114942528736,425,3925,0,0,4350,0.05021173623714459,0.05021173623714459,0.0,0.0,False
tutti,dummy,0.055,4350,425,0.09770114942528736,425,3925,0,0,4350,0.045186401508240596,0.045186401508240596,0.0,0.0,False
tutti,dummy,0.06,4350,425,0.09770114942528736,425,3925,0,0,4350,0.04010760577158231,0.04010760577158231,0.0,0.0,False
tutti,dummy,0.065,4350,425,0.09770114942528736,425,3925,0,0,4350,0.034974491363943705,0.034974491363943705,0.0,0.0,False
tutti,dummy,0.07,4350,425,0.09770114942528736,425,3925,0,0,4350,0.02978618217772834,0.02978618217772834,0.0,0.0,False
tutti,dummy,0.075,4350,425,0.09770114942528736,425,3925,0,0,4350,0.02454178316247284,0.02454178316247284,0.0,0.0,False
tutti,dummy,0.08,4350,425,0.09770114942528736,425,3925,0,0,4350,0.019240379810094965,0.019240379810094965,0.0,0.0,False
tutti,dummy,0.085,4350,425,0.09770114942528736,425,3925,0,0,4350,0.013881037623264869,0.013881037623264869,0.0,0.0,False
tutti,dummy,0.09,4350,425,0.09770114942528736,425,3925,0,0,4350,0.008462801566249858,0.008462801566249858,0.0,0.0,False
tutti,dummy,0.095,4350,425,0.09770114942528736,425,3925,0,0,4350,0.0029846954975551038,0.0029846954975551038,0.0,0.0,False
tutti,dummy,0.1,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.0025542784163473803,0.0,2.298850574712642,False
tutti,dummy,0.105,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.008155140306941477,0.0,6.951286261631069,False
tutti,dummy,0.11,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.013818933230014194,0.0,11.180773249738758,False
tutti,dummy,0.115,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.019546723813234607,0.0,15.042478760619677,False
tutti,dummy,0.12,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.025339602925809807,0.0,18.582375478927194,False
tutti,dummy,0.125,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.03119868637110014,0.0,21.8390804597701,False
tutti,dummy,0.13,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.03712511560311797,0.0,24.84526967285587,False
tutti,dummy,0.135,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.04312005846787588,0.0,27.62877820349084,False
tutti,dummy,0.14,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.04918470997059608,0.0,30.213464696223305,False
tutti,dummy,0.145,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.055320293069839335,0.0,32.61989694807768,False
tutti,dummy,0.15,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.06152805949966193,0.0,34.86590038314176,False
tutti,dummy,0.155,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.06780929062096168,0.0,36.96700037078234,False
tutti,dummy,0.16,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.07416529830322934,0.0,38.9367816091954,False
tutti,dummy,0.165,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.08059742583797923,0.0,40.78718216649251,False
tutti,dummy,0.17,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.08710704888519595,0.0,42.5287356321839,False
tutti,dummy,0.175,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.09369557645419714,0.0,44.17077175697865,False
tutti,dummy,0.18,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.10036445192038122,0.0,45.72158365261812,False
tutti,dummy,0.185,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.10711515407940202,0.0,47.18856787822304,False
tutti,dummy,0.19,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.11394919824038595,0.0,48.57834240774349,False
tutti,dummy,0.195,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.1208681373598915,0.0,49.896846448570585,False
tutti,dummy,0.2,4350,425,0.09770114942528736,0,0,425,3925,0,0.0,-0.12787356321839077,0.0,51.14942528735631,False
diabetici,lr_scored,0.02,263,68,0.2585551330798479,68,195,0,0,263,0.24342360518351827,0.24342360518351827,0.0,0.0,False
diabetici,lr_scored,0.025,263,68,0.2585551330798479,68,195,0,0,263,0.23954372623574144,0.23954372623574144,0.0,0.0,False
diabetici,lr_scored,0.03,263,68,0.2585551330798479,68,195,0,0,263,0.23562384853592566,0.23562384853592566,0.0,0.0,False
diabetici,lr_scored,0.035,263,68,0.2585551330798479,68,195,0,0,263,0.2316633503418113,0.2316633503418113,0.0,0.0,False
diabetici,lr_scored,0.04,263,68,0.2585551330798479,68,195,0,0,263,0.2276615969581749,0.2276615969581749,0.0,0.0,False
diabetici,lr_scored,0.045,263,68,0.2585551330798479,68,195,0,0,263,0.2236179403977465,0.2236179403977465,0.0,0.0,False
diabetici,lr_scored,0.05,263,68,0.2585551330798479,68,195,0,0,263,0.21953171903141883,0.21953171903141883,0.0,0.0,False
diabetici,lr_scored,0.055,263,68,0.2585551330798479,68,195,0,0,263,0.21540225722735226,0.21540225722735226,0.0,0.0,False
diabetici,lr_scored,0.06,263,68,0.2585551330798479,68,195,0,0,263,0.21122886497856158,0.21122886497856158,0.0,0.0,False
diabetici,lr_scored,0.065,263,68,0.2585551330798479,68,195,0,0,263,0.2070108375185539,0.2070108375185539,0.0,0.0,False
diabetici,lr_scored,0.07,263,68,0.2585551330798479,68,195,0,0,263,0.2027474549245676,0.2027474549245676,0.0,0.0,False
diabetici,lr_scored,0.075,263,68,0.2585551330798479,68,195,0,0,263,0.1984379817079437,0.1984379817079437,0.0,0.0,False
diabetici,lr_scored,0.08,263,68,0.2585551330798479,68,195,0,0,263,0.19408166639113902,0.19408166639113902,0.0,0.0,False
diabetici,lr_scored,0.085,263,68,0.2585551330798479,68,195,0,0,263,0.189677741070872,0.189677741070872,0.0,0.0,False
diabetici,lr_scored,0.09,263,68,0.2585551330798479,68,195,0,0,263,0.18522542096686584,0.18522542096686584,0.0,0.0,False
diabetici,lr_scored,0.095,263,68,0.2585551330798479,68,194,0,1,262,0.18112303846396235,0.18072390395563304,0.0,0.3802281368821403,True
diabetici,lr_scored,0.1,263,68,0.2585551330798479,68,194,0,1,262,0.1765948457963667,0.1761723700887199,0.0,0.380228136882127,True
diabetici,lr_scored,0.105,263,68,0.2585551330798479,68,192,0,3,260,0.17290821420226438,0.17156998109480215,0.0,1.1406844106463752,True
diabetici,lr_scored,0.11,263,68,0.2585551330798479,68,189,0,6,257,0.16973554919468534,0.16691587986499765,0.0,2.281368821292768,True
diabetici,lr_scored,0.115,263,68,0.2585551330798479,68,188,0,7,256,0.16566776223926444,0.16220918992073208,0.0,2.6615969581749033,True
diabetici,lr_scored,0.12,263,68,0.2585551330798479,68,186,0,9,254,0.16211545108883513,0.15744901486346352,0.0,3.422053231939178,True
diabetici,lr_scored,0.125,263,68,0.2585551330798479,68,184,0,11,252,0.15860945138511678,0.15263443780554048,0.0,4.182509505703414,True
diabetici,lr_scored,0.13,263,68,0.2585551330798479,68,181,0,14,249,0.15571871858747433,0.14776452078143437,0.0,5.3231939163498145,True
diabetici,lr_scored,0.135,263,68,0.2585551330798479,67,179,1,16,246,0.14853073693927338,0.14283830413855247,0.0,3.647373609350801,True
diabetici,lr_scored,0.14,263,68,0.2585551330798479,65,176,3,19,241,0.13820850649924837,0.13785480590679988,0.0,0.2172732210755019,True
diabetici,lr_scored,0.145,263,68,0.2585551330798479,65,175,3,20,240,0.13430280390456495,0.13281302114602095,0.0,0.8784581093483589,True
diabetici,lr_scored,0.15,263,68,0.2585551330798479,64,171,4,24,235,0.12860657571013195,0.12771192127040928,0.0,0.5069708491761794,True
diabetici,lr_scored,0.155,263,68,0.2585551330798479,63,168,5,27,231,0.12237046369833735,0.12255045334893244,0.0,-0.09812339016313358,False
diabetici,lr_scored,0.16,263,68,0.2585551330798479,63,156,5,39,219,0.12656165127648017,0.11732753938077128,0.0,4.847908745247165,True
diabetici,lr_scored,0.165,263,68,0.2585551330798479,61,154,7,41,215,0.11623141549600419,0.112042075544728,0.0,2.1200599147367347,True
diabetici,lr_scored,0.17,263,68,0.2585551330798479,61,153,7,42,214,0.11278574373539788,0.10669293142150349,0.0,2.9747260120778467,True
diabetici,lr_scored,0.175,263,68,0.2585551330798479,58,149,10,46,207,0.10035718400737413,0.10127894918769442,0.0,-0.4345464421509945,False
diabetici,lr_scored,0.18,263,68,0.2585551330798479,57,147,11,48,204,0.09403690995084857,0.09579894278030235,0.0,-0.8027038445289444,False
diabetici,lr_scored,0.185,263,68,0.2585551330798479,56,141,12,54,197,0.09123142597214767,0.09025169703048821,0.0,0.43161031754186924,True
diabetici,lr_scored,0.19,263,68,0.2585551330798479,54,136,14,59,190,0.08402572407642118,0.08463596676524432,0.0,-0.26015609365617837,False
diabetici,lr_scored,0.195,263,68,0.2585551330798479,53,131,15,64,184,0.08086342488723046,0.07895047587558743,0.0,0.789704591985969,True
diabetici,lr_scored,0.2,263,68,0.2585551330798479,51,129,17,66,180,0.07129277566539924,0.07319391634980987,0.0,-0.760456273764254,False
non diabetici,lr_scored,0.02,4087,357,0.08735013457303646,357,3730,0,0,4087,0.06872462711534333,0.06872462711534333,0.0,0.0,False
non diabetici,lr_scored,0.025,4087,357,0.08735013457303646,357,3726,0,4,4083,0.0639739511772788,0.06394885597234509,0.0,0.0978712992414754,True
non diabetici,lr_scored,0.03,4087,357,0.08735013457303646,355,3704,2,26,4059,0.05883124516003724,0.05912385007529532,0.0,-0.9460892260011238,False
non diabetici,lr_scored,0.035,4087,357,0.08735013457303646,350,3606,7,124,3956,0.05363651461540509,0.05424884411713622,0.0,-1.6882799119158314,False
non diabetici,lr_scored,0.04,4087,357,0.08735013457303646,343,3442,14,288,3785,0.04883370035070548,0.049323056846912974,0.0,-1.174455590897988,False
non diabetici,lr_scored,0.045,4087,357,0.08735013457303646,329,3205,28,525,3534,0.04354760401067361,0.044345690652394194,0.0,-1.6937172063181258,False
non diabetici,lr_scored,0.05,4087,357,0.08735013457303646,315,2926,42,804,3241,0.03939319794470271,0.03931593112951206,0.0,0.14680694886223603,True
non diabetici,lr_scored,0.055,4087,357,0.08735013457303646,293,2648,64,1082,2941,0.033981795420503516,0.03423294663813382,0.0,-0.4315234557466076,False
non diabetici,lr_scored,0.06,4087,357,0.08735013457303646,279,2383,78,1347,2662,0.031048107908313333,0.029095887843655813,0.0,3.0584781012967817,True
non diabetici,lr_scored,0.065,4087,357,0.08735013457303646,264,2120,93,1610,2384,0.02853445580024834,0.023903887243889255,0.0,6.660894769531915,True
non diabetici,lr_scored,0.07,4087,357,0.08735013457303646,248,1882,109,1848,2130,0.02602008466393574,0.018656058680684345,0.0,9.783634520605421,True
non diabetici,lr_scored,0.075,4087,357,0.08735013457303646,232,1670,125,2060,1902,0.02363459618169675,0.013351496835715099,0.0,12.68248919337737,True
non diabetici,lr_scored,0.08,4087,357,0.08735013457303646,217,1491,140,2239,1708,0.021372113062627,0.007989276709822246,0.0,15.390261805725466,True
non diabetici,lr_scored,0.085,4087,357,0.08735013457303646,201,1327,156,2403,1528,0.019018051371735782,0.002568453085285735,0.0,17.707508743649168,True
non diabetici,lr_scored,0.09,4087,357,0.08735013457303646,194,1174,163,2556,1368,0.019058015632520166,-0.0029119400296302583,0.0,22.214066280618763,True
non diabetici,lr_scored,0.095,4087,357,0.08735013457303646,179,1027,178,2703,1206,0.017419469088756027,-0.008452889974545352,0.0,24.64682626556605,True
non diabetici,lr_scored,0.1,4087,357,0.08735013457303646,165,921,192,2809,1086,0.015333170214501264,-0.0140554060299595,0.0,26.449718620014686,True
non diabetici,lr_scored,0.105,4087,357,0.08735013457303646,158,807,199,2923,965,0.015494010850591808,-0.01972052003012685,0.0,30.016195369755433,True
non diabetici,lr_scored,0.11,4087,357,0.08735013457303646,149,733,208,2997,882,0.014290309366778196,-0.025449286996588244,0.0,32.152946148541936,True
non diabetici,lr_scored,0.115,4087,357,0.08735013457303646,140,655,217,3075,795,0.013429656386033155,-0.031242785793179143,0.0,34.37835767704598,True
non diabetici,lr_scored,0.12,4087,357,0.08735013457303646,124,582,233,3148,706,0.010921547256267101,-0.03710211980336765,0.0,35.21735584373216,True
non diabetici,lr_scored,0.125,4087,357,0.08735013457303646,121,520,236,3210,641,0.011429969589989163,-0.04302841763081548,0.0,38.12087105456326,True
non diabetici,lr_scored,0.13,4087,357,0.08735013457303646,113,464,244,3266,577,0.010684283500530134,-0.04902283382409604,0.0,39.95784005571136,True
non diabetici,lr_scored,0.135,4087,357,0.08735013457303646,108,420,249,3310,528,0.010386803780773946,-0.05508654962654745,0.0,41.95144496098741,True
non diabetici,lr_scored,0.14,4087,357,0.08735013457303646,101,379,256,3351,480,0.009616424169658758,-0.0612207737522832,0.0,43.514278723478625,True
non diabetici,lr_scored,0.145,4087,357,0.08735013457303646,94,343,263,3387,437,0.008766921790243491,-0.06742674318943105,0.0,44.92798866042878,True
non diabetici,lr_scored,0.15,4087,357,0.08735013457303646,85,314,272,3416,399,0.007239597576246058,-0.07370572403172183,0.0,45.869015577848465,True
non diabetici,lr_scored,0.155,4087,357,0.08735013457303646,83,282,274,3448,365,0.00765162450430938,-0.08005901233960182,0.0,47.81644395684191,True
non diabetici,lr_scored,0.16,4087,357,0.08735013457303646,79,261,278,3469,340,0.007165577265895347,-0.08648793503209946,0.0,49.16809395644727,True
non diabetici,lr_scored,0.165,4087,357,0.08735013457303646,76,235,281,3495,311,0.007233392280767557,-0.09299385081073482,0.0,50.72105938266937,True
non diabetici,lr_scored,0.17,4087,357,0.08735013457303646,69,217,288,3513,286,0.006007882766691917,-0.09957815111682357,0.0,51.550828307834024,True
non diabetici,lr_scored,0.175,4087,357,0.08735013457303646,65,196,292,3534,261,0.005731402599521025,-0.10624226112359218,0.0,52.78758432661051,True
non diabetici,lr_scored,0.18,4087,357,0.08735013457303646,63,174,294,3556,237,0.006069214105402617,-0.11298764076458966,0.0,54.23701166299649,True
non diabetici,lr_scored,0.185,4087,357,0.08735013457303646,62,163,295,3567,225,0.0061169562025935875,-0.11981578579995529,0.0,55.478478233555315,True
non diabetici,lr_scored,0.19,4087,357,0.08735013457303646,59,154,298,3576,213,0.005597392515262185,-0.12672822892217722,0.0,56.41250177069785,True
non diabetici,lr_scored,0.195,4087,357,0.08735013457303646,57,143,300,3587,200,0.0054710664172265625,-0.13372654090306035,0.0,57.4636276373492,True
