group,model,threshold,n,positives,tests_per_100,found_per_100,missed_per_100,tests_per_case,tests_per_case_all,extra_tests_per_100_all,extra_cases_per_100_all,cost_per_case,cost_per_case_all,saving_per_100,incremental_cost_per_case,cost_per_case_low,cost_per_case_all_low,saving_per_100_low,incremental_cost_per_case_low,cost_per_case_high,cost_per_case_all_high,saving_per_100_high,incremental_cost_per_case_high
diabetici,lr_scored,0.02,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.025,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.03,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.035,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.04,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.045,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.05,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.055,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.06,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.065,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.07,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.075,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.08,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.085,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.09,263,68,100.0,25.85551330798479,0.0,3.8676470588235294,3.8676470588235294,0.0,0.0,189.51470588235296,189.51470588235296,0.0,,139.23529411764707,139.23529411764707,0.0,,247.52941176470588,247.52941176470588,0.0,
diabetici,lr_scored,0.095,263,68,99.61977186311788,25.85551330798479,0.0,3.8529411764705883,3.8676470588235294,0.38022813688212925,0.0,188.79411764705884,189.51470588235296,18.631178707224333,,138.7058823529412,139.23529411764707,13.688212927756654,,246.58823529411765,247.52941176470588,24.334600760456272,
diabetici,lr_scored,0.1,263,68,99.61977186311788,25.85551330798479,0.0,3.8529411764705883,3.8676470588235294,0.38022813688212925,0.0,188.79411764705884,189.51470588235296,18.631178707224333,,138.7058823529412,139.23529411764707,13.688212927756654,,246.58823529411765,247.52941176470588,24.334600760456272,
diabetici,lr_scored,0.105,263,68,98.85931558935361,25.85551330798479,0.0,3.823529411764706,3.8676470588235294,1.1406844106463878,0.0,187.3529411764706,189.51470588235296,55.893536121673,,137.64705882352942,139.23529411764707,41.06463878326996,,244.7058823529412,247.52941176470588,73.00380228136882,
diabetici,lr_scored,0.11,263,68,97.71863117870723,25.85551330798479,0.0,3.7794117647058822,3.8676470588235294,2.2813688212927756,0.0,185.19117647058823,189.51470588235296,111.787072243346,,136.05882352941177,139.23529411764707,82.12927756653993,,241.88235294117646,247.52941176470588,146.00760456273764,
diabetici,lr_scored,0.115,263,68,97.33840304182509,25.85551330798479,0.0,3.764705882352941,3.8676470588235294,2.661596958174905,0.0,184.47058823529412,189.51470588235296,130.41825095057035,,135.52941176470588,139.23529411764707,95.81749049429658,,240.94117647058823,247.52941176470588,170.34220532319392,
diabetici,lr_scored,0.12,263,68,96.57794676806084,25.85551330798479,0.0,3.735294117647059,3.8676470588235294,3.4220532319391634,0.0,183.02941176470588,189.51470588235296,167.680608365019,,134.47058823529412,139.23529411764707,123.19391634980988,,239.05882352941177,247.52941176470588,219.01140684410646,
diabetici,lr_scored,0.125,263,68,95.81749049429658,25.85551330798479,0.0,3.7058823529411766,3.8676470588235294,4.182509505703422,0.0,181.58823529411765,189.51470588235296,204.94296577946767,,133.41176470588235,139.23529411764707,150.5703422053232,,237.1764705882353,247.52941176470588,267.680608365019,
diabetici,lr_scored,0.13,263,68,94.67680608365019,25.85551330798479,0.0,3.661764705882353,3.8676470588235294,5.32319391634981,0.0,179.42647058823528,189.51470588235296,260.8365019011407,,131.8235294117647,139.23529411764707,191.63498098859316,,234.35294117647058,247.52941176470588,340.68441064638785,
diabetici,lr_scored,0.135,263,68,93.5361216730038,25.475285171102662,0.38022813688212925,3.671641791044776,3.8676470588235294,6.4638783269961975,0.38022813688212925,179.91044776119404,189.51470588235296,316.7300380228137,833.0,132.17910447761193,139.23529411764707,232.6996197718631,612.0,234.98507462686567,247.52941176470588,413.68821292775664,1088.0
diabetici,lr_scored,0.14,263,68,91.63498098859316,24.714828897338403,1.1406844106463878,3.707692307692308,3.8676470588235294,8.365019011406844,1.1406844106463878,181.6769230769231,189.51470588235296,409.88593155893534,359.3333333333333,133.47692307692307,139.23529411764707,301.1406844106464,264.0,237.2923076923077,247.52941176470588,535.361216730038,469.3333333333333
diabetici,lr_scored,0.145,263,68,91.25475285171103,24.714828897338403,1.1406844106463878,3.6923076923076925,3.8676470588235294,8.745247148288973,1.1406844106463878,180.92307692307693,189.51470588235296,428.5171102661597,375.6666666666667,132.92307692307693,139.23529411764707,314.828897338403,276.0,236.30769230769232,247.52941176470588,559.6958174904943,490.6666666666667
