metodo,RMSE,RMSE SE,MAE,MAE SE,PR-AUC,PR-AUC SE,AUC,AUC SE,secondi
mediana,1.0376,0.0457,0.6678,0.0092,0.2446,0.0281,0.6896,0.0169,0.5577
KNN,0.7875,0.0482,0.5066,0.0073,0.2481,0.0292,0.6904,0.0175,5.0971
MICE,0.9497,0.0954,0.3175,0.0105,0.2453,0.0292,0.6934,0.017,50.6041
MissForest,0.7292,0.0534,0.4374,0.0058,0.2463,0.0285,0.6917,0.017,267.4855
