metodo,fold,RMSE,MAE,PR-AUC,AUC,secondi
mediana,0,0.9405825378125837,0.6586585918424044,0.206431236276787,0.6703484451105284,1.1766949999982899
mediana,1,1.0116277158149867,0.6997059708231499,0.24161684784654158,0.6703034844511052,1.1766949999982899
mediana,2,1.2045037287032787,0.6683109370750312,0.19194270250060075,0.6509254402397903,1.1766949999982899
mediana,3,0.9645695723615644,0.6699749560620326,0.3616553258725001,0.7465567628325216,1.1766949999982899
mediana,4,1.0709628309285046,0.6907174873196926,0.25754188509519843,0.7256650430872986,1.1766949999982899
KNN,0,0.6999659514898385,0.49090285346525736,0.20568696219620758,0.6714574747096289,10.73607980000088
KNN,1,0.7165909561794871,0.5039447612360697,0.2566378364061687,0.6762083177219932,10.73607980000088
KNN,2,0.9969875584044132,0.49803465271343095,0.1934417059970412,0.6467440989134507,10.73607980000088
KNN,3,0.7156386543300142,0.5085711419104603,0.37559964934096124,0.7473360809291869,10.73607980000088
KNN,4,0.8370321647965595,0.5250244386084939,0.26185723039454467,0.732079430498314,10.73607980000088
MICE,0,1.197234607630886,0.31129095299275655,0.2015053906683723,0.6705432746346945,70.39053309999872
MICE,1,1.7842891242386427,0.34532894968387057,0.24430826310302647,0.674185088047958,70.39053309999872
MICE,2,1.125908479616606,0.30492061942272236,0.19276569927471768,0.6545522667665792,70.39053309999872
MICE,3,1.0958063493638557,0.30486724997445386,0.37182463239909047,0.7545897339827652,70.39053309999872
MICE,4,1.0559969588207743,0.3211822471840501,0.27617732363856284,0.7314799550393407,70.39053309999872
MissForest,0,0.6227183821186698,0.4265263798294862,0.20743800964727527,0.6745297864368677,305.38067469999805
MissForest,1,0.6465403399192996,0.4421651031616751,0.2523995167538536,0.6745597602098165,305.38067469999805
MissForest,2,0.973678631163256,0.439037380433298,0.19568481573182472,0.6513001124016485,305.38067469999805
MissForest,3,0.6478641269831769,0.44180632620596993,0.37035437505418406,0.7501086549269389,305.38067469999805
MissForest,4,0.7775719337011229,0.4587856071118262,0.26010090096515787,0.73047583364556,305.38067469999805
