number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.19104466297881983,2026-09-19 19:32:47.502597,2026-09-19 19:32:49.037293,0 days 00:00:01.534696,0.6378406858761497,0.05735290999311754,1,331,0.5149589868525593,0.17030711279547273,0.6194502386426519,"{'n_estimators': 331, 'learning_rate': 0.05735290999311754, 'max_depth': 1, 'subsample': 0.6194502386426519, 'colsample_bytree': 0.6378406858761497, 'reg_alpha': 0.5149589868525593, 'reg_lambda': 0.17030711279547273}",,COMPLETE
1,0.21003745738599813,2026-09-19 19:32:49.037293,2026-09-19 19:32:55.300710,0 days 00:00:06.263417,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.23535641130565174,2026-09-19 19:32:55.301213,2026-09-19 19:33:11.059185,0 days 00:00:15.757972,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.2112255976961817,2026-09-19 19:33:11.059185,2026-09-19 19:33:14.898813,0 days 00:00:03.839628,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.21397751236159582,2026-09-19 19:33:14.898813,2026-09-19 19:33:21.007836,0 days 00:00:06.109023,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.22958879910284039,2026-09-19 19:33:21.007836,2026-09-19 19:33:45.787620,0 days 00:00:24.779784,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,COMPLETE
6,0.2635415375184483,2026-09-19 19:33:45.787620,2026-09-19 19:33:46.746577,0 days 00:00:00.958957,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,PRUNED
7,0.27122304886262594,2026-09-19 19:33:46.746577,2026-09-19 19:33:47.216743,0 days 00:00:00.470166,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.2348892818302879,2026-09-19 19:33:47.216743,2026-09-19 19:33:52.728731,0 days 00:00:05.511988,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,COMPLETE
9,0.15968143339936242,2026-09-19 19:33:52.728731,2026-09-19 19:33:52.943260,0 days 00:00:00.214529,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,PRUNED
10,0.2391764238926231,2026-09-19 19:33:52.943260,2026-09-19 19:34:02.949913,0 days 00:00:10.006653,0.9609972575302882,0.15245367148015904,9,1087,4.873854971006914,2.4057825076225834,0.7978250331314947,,"{""colsample_bytree"": 0.9609972575302882, ""learning_rate"": 0.15245367148015904, ""max_depth"": 9, ""n_estimators"": 1087, ""reg_alpha"": 4.873854971006914, ""reg_lambda"": 2.4057825076225834, ""subsample"": 0.7978250331314947}",COMPLETE
11,0.23596225429114379,2026-09-19 19:34:02.949913,2026-09-19 19:34:25.920699,0 days 00:00:22.970786,0.9953427782139695,0.04752597203634117,9,1028,4.1446682051786485,1.8149226626518289,0.6238674485015278,,"{""colsample_bytree"": 0.9953427782139695, ""learning_rate"": 0.04752597203634117, ""max_depth"": 9, ""n_estimators"": 1028, ""reg_alpha"": 4.1446682051786485, ""reg_lambda"": 1.8149226626518289, ""subsample"": 0.6238674485015278}",COMPLETE
12,0.23334447297069474,2026-09-19 19:34:25.920699,2026-09-19 19:34:34.518132,0 days 00:00:08.597433,0.965789443625965,0.20898614418747255,12,760,4.4954828453270315,2.2355139459718063,0.7487323770160297,,"{""colsample_bytree"": 0.965789443625965, ""learning_rate"": 0.20898614418747255, ""max_depth"": 12, ""n_estimators"": 760, ""reg_alpha"": 4.4954828453270315, ""reg_lambda"": 2.2355139459718063, ""subsample"": 0.7487323770160297}",COMPLETE
13,0.23667447523996782,2026-09-19 19:34:34.518132,2026-09-19 19:34:47.661383,0 days 00:00:13.143251,0.960259712803393,0.09047243136477172,9,1056,4.677205260839026,3.476453264715256,0.90077208582756,,"{""colsample_bytree"": 0.960259712803393, ""learning_rate"": 0.09047243136477172, ""max_depth"": 9, ""n_estimators"": 1056, ""reg_alpha"": 4.677205260839026, ""reg_lambda"": 3.476453264715256, ""subsample"": 0.90077208582756}",COMPLETE
14,0.2800030115610095,2026-09-19 19:34:47.661383,2026-09-19 19:34:49.860818,0 days 00:00:02.199435,0.9849329544858892,0.07606624431175286,6,807,4.198804755516395,3.4216308953516066,0.9147990539157855,,"{""colsample_bytree"": 0.9849329544858892, ""learning_rate"": 0.07606624431175286, ""max_depth"": 6, ""n_estimators"": 807, ""reg_alpha"": 4.198804755516395, ""reg_lambda"": 3.4216308953516066, ""subsample"": 0.9147990539157855}",PRUNED
15,0.2981137352388817,2026-09-19 19:34:49.860818,2026-09-19 19:34:51.713273,0 days 00:00:01.852455,0.9745057241088306,0.18193253287338315,11,1194,4.580736976856834,4.385314726626341,0.9444072738455679,,"{""colsample_bytree"": 0.9745057241088306, ""learning_rate"": 0.18193253287338315, ""max_depth"": 11, ""n_estimators"": 1194, ""reg_alpha"": 4.580736976856834, ""reg_lambda"": 4.385314726626341, ""subsample"": 0.9444072738455679}",PRUNED
16,0.278302668355527,2026-09-19 19:34:51.713273,2026-09-19 19:34:53.725746,0 days 00:00:02.012473,0.8859620061900355,0.1283994985724004,6,1116,3.8596479188009667,0.8760603957155371,0.7019290277674632,,"{""colsample_bytree"": 0.8859620061900355, ""learning_rate"": 0.1283994985724004, ""max_depth"": 6, ""n_estimators"": 1116, ""reg_alpha"": 3.8596479188009667, ""reg_lambda"": 0.8760603957155371, ""subsample"": 0.7019290277674632}",PRUNED
17,0.23052382600793112,2026-09-19 19:34:53.725746,2026-09-19 19:35:09.029387,0 days 00:00:15.303641,0.8737284118133917,0.07948930349354436,11,999,4.547983237259223,3.24702497176077,0.8195434974885285,,"{""colsample_bytree"": 0.8737284118133917, ""learning_rate"": 0.07948930349354436, ""max_depth"": 11, ""n_estimators"": 999, ""reg_alpha"": 4.547983237259223, ""reg_lambda"": 3.24702497176077, ""subsample"": 0.8195434974885285}",COMPLETE
18,0.2989845872407166,2026-09-19 19:35:09.029387,2026-09-19 19:35:11.265027,0 days 00:00:02.235640,0.9340871508299055,0.12243372892424433,7,1197,4.8449557132549845,4.621242650095012,0.7838490671351489,,"{""colsample_bytree"": 0.9340871508299055, ""learning_rate"": 0.12243372892424433, ""max_depth"": 7, ""n_estimators"": 1197, ""reg_alpha"": 4.8449557132549845, ""reg_lambda"": 4.621242650095012, ""subsample"": 0.7838490671351489}",PRUNED
19,0.23745477950660937,2026-09-19 19:35:11.266710,2026-09-19 19:35:22.273381,0 days 00:00:11.006671,0.874570711327223,0.11937985870938068,10,932,4.879263476696238,4.95329082984939,0.8490527349668862,,"{""colsample_bytree"": 0.874570711327223, ""learning_rate"": 0.11937985870938068, ""max_depth"": 10, ""n_estimators"": 932, ""reg_alpha"": 4.879263476696238, ""reg_lambda"": 4.95329082984939, ""subsample"": 0.8490527349668862}",COMPLETE
20,0.23501908934310772,2026-09-19 19:35:22.274384,2026-09-19 19:35:31.175557,0 days 00:00:08.901173,0.8282747942533959,0.18252544327823347,11,971,4.908205545224154,3.179677538366465,0.849314983893586,,"{""colsample_bytree"": 0.8282747942533959, ""learning_rate"": 0.18252544327823347, ""max_depth"": 11, ""n_estimators"": 971, ""reg_alpha"": 4.908205545224154, ""reg_lambda"": 3.179677538366465, ""subsample"": 0.849314983893586}",COMPLETE
21,0.23712547502814613,2026-09-19 19:35:31.175557,2026-09-19 19:35:48.508313,0 days 00:00:17.332756,0.8254138632463528,0.0663740978066274,12,811,4.764940371274109,4.0018830898550695,0.860221809689272,,"{""colsample_bytree"": 0.8254138632463528, ""learning_rate"": 0.0663740978066274, ""max_depth"": 12, ""n_estimators"": 811, ""reg_alpha"": 4.764940371274109, ""reg_lambda"": 4.0018830898550695, ""subsample"": 0.860221809689272}",COMPLETE
22,0.23222049827054247,2026-09-19 19:35:48.508313,2026-09-19 19:36:00.652688,0 days 00:00:12.144375,0.9192329263823564,0.12492260268371558,11,903,4.077276268040126,4.991995554695026,0.8388951033037573,,"{""colsample_bytree"": 0.9192329263823564, ""learning_rate"": 0.12492260268371558, ""max_depth"": 11, ""n_estimators"": 903, ""reg_alpha"": 4.077276268040126, ""reg_lambda"": 4.991995554695026, ""subsample"": 0.8388951033037573}",COMPLETE
23,0.3022274396486256,2026-09-19 19:36:00.652688,2026-09-19 19:36:02.177307,0 days 00:00:01.524619,0.9394008519714836,0.25793237457977614,10,821,4.564633132854561,4.079888477332659,0.8023218495431366,,"{""colsample_bytree"": 0.9394008519714836, ""learning_rate"": 0.25793237457977614, ""max_depth"": 10, ""n_estimators"": 821, ""reg_alpha"": 4.564633132854561, ""reg_lambda"": 4.079888477332659, ""subsample"": 0.8023218495431366}",PRUNED
