number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.18106739369029373,2026-09-19 20:00:04.361301,2026-09-19 20:00:10.210138,0 days 00:00:05.848837,0.781526069129198,0.06261929620791179,1,772,2.69921339565992,1.9650692643741328,0.6438566906133439,"{'n_estimators': 772, 'learning_rate': 0.06261929620791179, 'max_depth': 1, 'subsample': 0.6438566906133439, 'colsample_bytree': 0.781526069129198, 'reg_alpha': 2.69921339565992, 'reg_lambda': 1.9650692643741328}",,COMPLETE
1,0.18819929821413192,2026-09-19 20:00:10.210138,2026-09-19 20:00:44.928747,0 days 00:00:34.718609,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.20312862633614728,2026-09-19 20:00:44.928747,2026-09-19 20:01:32.030262,0 days 00:00:47.101515,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.20035994609404803,2026-09-19 20:01:32.030262,2026-09-19 20:01:39.419156,0 days 00:00:07.388894,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.20412537354694674,2026-09-19 20:01:39.419156,2026-09-19 20:01:47.928995,0 days 00:00:08.509839,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.20944973509950637,2026-09-19 20:01:47.928995,2026-09-19 20:02:52.850271,0 days 00:01:04.921276,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,COMPLETE
6,0.20226640160197995,2026-09-19 20:02:52.850271,2026-09-19 20:02:55.077288,0 days 00:00:02.227017,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,PRUNED
7,0.21014555777005411,2026-09-19 20:02:55.077288,2026-09-19 20:02:56.368064,0 days 00:00:01.290776,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.19817285025126308,2026-09-19 20:02:56.368064,2026-09-19 20:02:59.285325,0 days 00:00:02.917261,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,PRUNED
9,0.15960784866452607,2026-09-19 20:02:59.285325,2026-09-19 20:03:00.246718,0 days 00:00:00.961393,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,PRUNED
