fold,lr_penalized,random_forest,xgboost,ensemble_mean,xgboost_native_nan,xgboost_extended,target_decomposition,catboost,lightgbm,ebm,tabpfn,xgboost_no_pruner,lr_all_scaled,tri_ensemble_top21,positive_control,tri_ensemble_leaky
0,0.6586886474334956,0.6339003372049457,0.6324915698763581,0.6442263019857624,0.6417085050580742,0.6417534657174971,0.6441363806669165,0.6166504308729862,0.6449906331959536,0.6264068939677782,0.6607268639940053,0.6350992881228925,0.6660172349194454,0.6504608467590858,0.9281678531285126,0.6527688272761334
1,0.6783814162607719,0.693907830648183,0.6903559385537654,0.692933683027351,0.6973398276508056,0.6841064068939677,0.6947021356313225,0.7044885724990633,0.7067815661296365,0.6819482952416634,0.6879880104908205,0.6927238666167104,0.6776920194829523,0.6925590108654928,0.9303259647808169,0.7014162607718248
2,0.6598426376920196,0.6647433495691271,0.6517647058823529,0.6663769201948295,0.6647133757961783,0.6542974896965155,0.6542974896965156,0.6481079055826152,0.6541775946047209,0.6623004870738104,0.6701386286998877,0.6520044960659424,0.652888722367928,0.6560209816410641,0.9442337954289997,0.6706331959535407
3,0.7621131509928812,0.7672536530535781,0.7500936680404646,0.7704608467590858,0.7598950917946796,0.7484750843012363,0.7672236792806294,0.7532109404271262,0.7551592356687898,0.7498988385162982,0.7819108280254777,0.7438291494941925,0.7504233795429,0.766129636568003,0.9439790183589359,0.7848632446609216
4,0.7427950543274635,0.7793180966654177,0.7636118396403149,0.7741476208317722,0.7700711877107531,0.7667890595728737,0.7739527913076059,0.775301611090296,0.7742075683776696,0.7744023979018357,0.7837991757212439,0.7623829149494193,0.7382690146122144,0.7634769576620457,0.9230123641813412,0.7808767328587486
