feature_set,model,threshold,band_2_from,band_3_from,band_4_from
main,lr_penalized,0.0479707257418685,0.1857641487862163,0.3786176113537689,0.5566777374579833
main,lr_scored,0.0502852648657892,0.18411909913168584,0.34073167845603564,0.4287333835468354
main,random_forest,0.0581256463703772,0.17493896702151185,0.27367770979796874,0.32260779535165135
main,xgboost,0.0424957387149333,0.19344476704624866,0.35168113827020253,0.45558646440505757
no_consequence,lr_penalized,0.0501238945029614,0.18066979466931943,0.36368717796456224,0.5314928691913734
no_consequence,lr_scored,0.0503235409023072,0.18444036123991442,0.33868715676057765,0.42580718795641265
no_consequence,random_forest,0.0575864271132011,0.1772373313448664,0.27589283169025147,0.3295949472940843
no_consequence,xgboost,0.0410123020410537,0.19041497405918162,0.3433578175922913,0.4429577887263787
